NDC Description	NDC	NADAC Per Unit	Effective Date	Pricing Unit	Pharmacy Type Indicator	OTC	Explanation Code	Classification for Rate Setting	Corresponding Generic Drug NADAC Per Unit	Corresponding Generic Drug Effective Date
12-HR DECONGEST 120 MG CAPLET	00113005452	0.36651	06/17/2015	EA	C/I	Y	1	G			
12-HR DECONGEST 120 MG CAPLET	36800005452	0.36651	06/17/2015	EA	C/I	Y	1	G			
12-HR DECONGEST 120 MG CAPLET	36800005460	0.36651	06/17/2015	EA	C/I	Y	1	G			
12-HR DECONGEST 120 MG CAPLET	37205044652	0.36651	06/17/2015	EA	C/I	Y	1	G			
8 HOUR ER 650 MG CAPLET	46122006271	0.06081	06/17/2015	EA	C/I	Y	1	G			
8 HOUR ER 650 MG CAPLET	46122006278	0.06081	06/17/2015	EA	C/I	Y	1	G			
ABACAVIR 300 MG TABLET	00378410591	3.78621	06/17/2015	EA	C/I	N	1	G			
ABACAVIR 300 MG TABLET	31722055760	3.78621	06/17/2015	EA	C/I	N	1	G			
ABACAVIR 300 MG TABLET	51079020401	3.78621	06/17/2015	EA	C/I	N	1	G			
ABACAVIR 300 MG TABLET	51079020406	3.78621	06/17/2015	EA	C/I	N	1	G			
ABACAVIR 300 MG TABLET	60505358306	3.78621	06/17/2015	EA	C/I	N	1	G			
ABACAVIR 300 MG TABLET	65862007360	3.78621	06/17/2015	EA	C/I	N	1	G			
ABACAVIR 300 MG TABLET	68084002111	3.78621	06/17/2015	EA	C/I	N	1	G			
ABACAVIR 300 MG TABLET	68084002121	3.78621	06/17/2015	EA	C/I	N	1	G			
ABACAVIR-LAMIVUDINE-ZIDOV TAB	68180028607	23.03610	06/17/2015	EA	C/I	N	1	G			
ABILIFY 1 MG/ML SOLUTION	59148001315	6.32127	01/01/2015	ML	C/I	N	"2, 5"	B			
ABILIFY 10 MG TABLET	59148000813	29.12445	01/01/2015	EA	C/I	N	2	B			
ABILIFY 10 MG TABLET	59148000835	29.12445	01/01/2015	EA	C/I	N	2	B			
ABILIFY 15 MG TABLET	59148000913	29.03899	01/01/2015	EA	C/I	N	2	B			
ABILIFY 15 MG TABLET	59148000935	29.03899	01/01/2015	EA	C/I	N	2	B			
ABILIFY 2 MG TABLET	59148000613	28.72033	04/22/2015	EA	C/I	N	2	B			
ABILIFY 20 MG TABLET	59148001013	40.91995	01/01/2015	EA	C/I	N	2	B			
ABILIFY 20 MG TABLET	59148001035	40.91995	01/01/2015	EA	C/I	N	2	B			
ABILIFY 30 MG TABLET	59148001113	40.98323	01/01/2015	EA	C/I	N	2	B			
ABILIFY 30 MG TABLET	59148001135	40.98323	01/01/2015	EA	C/I	N	2	B			
ABILIFY 5 MG TABLET	59148000713	28.72221	01/01/2015	EA	C/I	N	2	B			
ABILIFY 5 MG TABLET	59148000735	28.72221	01/01/2015	EA	C/I	N	2	B			
ABILIFY DISCMELT 10 MG TABLET	59148064023	35.01615	01/01/2015	EA	C/I	N	4	B			
ABILIFY DISCMELT 15 MG TABLET	59148064123	34.30308	01/01/2015	EA	C/I	N	4	B			
ABILIFY MAINTENA ER 300 MG VL	59148001871	1142.52706	01/01/2015	EA	C/I	N	2	B			
ABILIFY MAINTENA ER 400 MG VL	59148001971	1544.73959	01/01/2015	EA	C/I	N	2	B			
ABREVA 10% CREAM	00135020001	7.28485	06/17/2015	GM	C/I	Y	"1, 5"	B			
ABREVA 10% CREAM	00135020003	7.28485	06/17/2015	GM	C/I	Y	"1, 5"	B			
ABSORICA 20 MG CAPSULE	10631011631	26.13375	05/04/2015	EA	C/I	N	2	B			
ABSORICA 30 MG CAPSULE	10631011731	27.61615	05/04/2015	EA	C/I	N	2	B			
ABSORICA 40 MG CAPSULE	10631011831	27.72341	05/04/2015	EA	C/I	N	2	B			
ACAMPROSATE CALC DR 333 MG TAB	00378633380	0.78273	06/17/2015	EA	C/I	N	1	G			
ACAMPROSATE CALC DR 333 MG TAB	51079024101	0.78273	06/17/2015	EA	C/I	N	1	G			
ACAMPROSATE CALC DR 333 MG TAB	51079024106	0.78273	06/17/2015	EA	C/I	N	1	G			
ACAMPROSATE CALC DR 333 MG TAB	68462043518	0.78273	06/17/2015	EA	C/I	N	1	G			
ACANYA GEL PUMP	13548013250	7.83990	01/02/2015	GM	C/I	N	"2, 5"	B			
ACARBOSE 100 MG TABLET	00054014225	0.33187	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 100 MG TABLET	00115115201	0.33187	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 100 MG TABLET	00115115202	0.33187	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 100 MG TABLET	00378282277	0.33187	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 100 MG TABLET	16252052501	0.33187	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 100 MG TABLET	23155014901	0.33187	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 100 MG TABLET	23155014905	0.33187	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 100 MG TABLET	23155014910	0.33187	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 100 MG TABLET	47781034201	0.33187	06/17/2015	EA	C/I	N	"1, 6"	G			
ACARBOSE 100 MG TABLET	64380076006	0.33187	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 100 MG TABLET	76439012210	0.33187	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 100 MG TABLET	76439012211	0.33187	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 25 MG TABLET	00054014025	0.34978	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 25 MG TABLET	00115115001	0.34978	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 25 MG TABLET	00115115002	0.34978	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 25 MG TABLET	00378282077	0.34978	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 25 MG TABLET	16252052301	0.34978	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 25 MG TABLET	23155014701	0.34978	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 25 MG TABLET	23155014710	0.34978	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 25 MG TABLET	47781034001	0.34978	06/17/2015	EA	C/I	N	"1, 6"	G			
ACARBOSE 25 MG TABLET	64380075806	0.34978	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 25 MG TABLET	76439012010	0.34978	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 25 MG TABLET	76439012011	0.34978	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	00054014120	0.32447	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	00054014125	0.32447	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	00115115101	0.32447	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	00115115102	0.32447	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	00378282177	0.32447	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	16252052401	0.32447	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	23155014801	0.32447	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	23155014805	0.32447	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	23155014810	0.32447	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	47781034101	0.32447	06/17/2015	EA	C/I	N	"1, 6"	G			
ACARBOSE 50 MG TABLET	64380075906	0.32447	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	76439012110	0.32447	06/17/2015	EA	C/I	N	1	G			
ACARBOSE 50 MG TABLET	76439012111	0.32447	06/17/2015	EA	C/I	N	1	G			
ACCUPRIL 10 MG TABLET	00071053023	2.99259	06/01/2015	EA	C/I	N	4	B	0.15211	06/17/2015	
