product_ndc	text
0005-2500	Active ingredient (in each caplet) Purpose Calcium polycarbophil 625 mg equivalent to 500 mg polycarbophil Bulk-forming laxative
0023-0240	Active ingredients Mineral Oil 42.5% and White Petrolatum 57.3%
0023-0312	Active ingredients Mineral Oil 42.5% White Petrolatum 56.8%
0023-0403	Active ingredient Carboxymethylcellulose sodium 0.5%
0023-0506	Active ingredients Polyvinyl Alcohol 1.4% Povidone 0.6%
0023-0798	Active ingredient Carboxymethylcellulose sodium 0.5%
0023-3240	Active ingredients Carboxymethylcellulose sodium 0.5% Glycerin 0.9%
0023-3416	Active ingredients Carboxymethylcellulose sodium 0.5% Glycerin 0.9%
0023-3459	Active ingredients Octinoxate 7.5% Octisalate 5% Oxybenzone 6%
0023-4307	Active ingredients Carboxymethylcellulose sodium 0.5% Glycerin 1% Polysorbate 80 0.5%
0023-4383	Active ingredients Octinoxate 7.5% Octisalate 4% Zinc oxide 7.8%
0023-4491	Active ingredients Carboxymethylcellulose sodium 0.5% Glycerin 1% Polysorbate 80 0.5%
0023-4554	Active ingredient Carboxymethylcellulose sodium 1%
0023-4948	Active Ingredient Salicylic Acid 2.0%
0023-4951	Active ingredient Salicylic Acid 2.0%
0023-4953	Active ingredients Octinoxate 7.5% Zinc Oxide 5.3%
0023-4963	Active ingredients Titanium Dioxide 7.3% Zinc Oxide 3.4%
0023-4964	Active ingredients Octinoxate 7.5% Octisalate 5.0% Octocrylene 2.0% Oxybenzone 6.0% Zinc Oxide 3.3%
0023-4965	Active ingredient Benzoyl Peroxide 2.5%
0023-9205	Active ingredient Carboxymethylcellulose sodium 1%
0031-2234	ACTIVE INGREDIENTS (IN EACH 10 ML) Brompheniramine maleate, USP 2 mg Dextromethorphan HBr, USP 10 mg Phenylephrine HCl , USP 5 mg
0031-2235	ACTIVE INGREDIENTS (IN EACH 10 ML) Brompheniramine maleate, USP 2 mg Phenylephrine HCl , USP 5 mg
0031-2238	ACTIVE INGREDIENTS (IN EACH 5 ML TEASPOON) Chlorpheniramine maleate, USP 1.0 mg Dextromethorphan HBr, USP 7.5 mg
0031-2246	ACTIVE INGREDIENTS (IN EACH 5 ML TSP) Acetaminophen, USP 160 mg Chlorpheniramine maleate, USP 1 mg Dextromethorphan HBr, USP 5 mg Phenylephrine HCl, USP 2.5 mg
0031-2247	ACTIVE INGREDIENTS (IN EACH 5 ML TSP) Diphenhydramine HCl, USP 6.25 mg Phenylephrine HCl, USP 2.5 mg
0031-2249	Active ingredients (in each 10 ml) Purposes Acetaminophen, USP 320 mg Pain reliever/Fever reducer Diphenhydramine HCl, USP 12.5 mg Antihistamine/Cough suppressant Phenylephrine HCl, USP 5 mg Nasal decongestant
0031-2293	ACTIVE INGREDIENTS (IN EACH TABLET) Brompheniramine maleate, USP 1 mg Phenylephrine HCl, USP 2.5 mg
0031-8649	Active ingredients (in each lozenge) Purposes Dextromethorphan HBr 5 mg Cough suppressant Menthol 5 mg Oral anesthetic
0031-8692	Active ingredients (in each 10 ml) Purposes Chlorpheniramine maleate, USP 2 mg Antihistamine Dextromethorphan HBr, USP 15 mg Cough suppressant
0031-8693	ACTIVE INGREDIENTS (IN EACH 5 ML TSP) Chlorpheniramine maleate, USP 1 mg Dextromethorphan HBr, USP 7.5 mg
0031-8694	Active ingredient (in each 5 ml tsp) Dextromethorphan HBr, USP 7.5 mg
0031-8698	ACTIVE INGREDIENTS (IN EACH 5 ML TSP) Diphenhydramine HCl , USP 6.25 mg Phenylephrine HCl, USP 2.5 mg
0031-8712	ACTIVE INGREDIENTS (IN EACH 10 ML PRE-FILLED SPOON) Dextromethorphan HBr, USP 20 mg Guaifenesin, USP 200 mg
0031-8713	ACTIVE INGREDIENTS (IN EACH 10 ML PRE-FILLED SPOON) Dextromethorphan HBr, USP 20 mg Guaifenesin, USP 200 mg Phenylephrine HCl, USP 10 mg
0031-8715	Active ingredients (in each 5 ml) Purposes Dextromethorphan HBr, USP 5 mg Cough suppressant Guaifenesin, USP 100 mg Expectorant
0031-8716	Active ingredients (in each 5 mL tsp) Purposes Dextromethorphan HBr, USP 5 mg Cough suppressant Guaifenesin, USP 50 mg Expectorant Phenylephrine HCl, USP 2.5 mg Nasal decongestant
0031-8717	Active ingredients (in each 10 ml) Purposes Dextromethorphan HBr, USP 30 mg Cough suppressant Doxylamine Succinate, USP 12.5 mg Antihistamine
0031-8719	Active ingredients (in each liquid-filled capsule) Purposes Dextromethorphan HBr, USP 10 mg Cough suppressant Guaifenesin, USP 200 mg Expectorant
0031-8721	Active ingredients (in each liquid-filled capsule) Purposes Acetaminophen, USP 325 mg Pain reliever/Fever reducer Dextromethorphan HBr, USP 10 mg Cough suppressant Phenylephrine HCl, USP 5 mg Nasal decongestant
0031-8722	Active ingredients (in each liquid-filled capsule) Purposes Acetaminophen, USP 325 mg Pain reliever/Fever reducer Dextromethorphan HBr, USP 15 mg Cough suppressant Doxylamine Succinate, USP 6.25 mg Antihistamine
0031-8724	Active ingredient (in each 10 mL) Guaifenesin, USP 200 mg
0031-8731	ACTIVE INGREDIENTS (IN EACH TABLET) Acetaminophen, USP 325 mg Phenylephrine HCl, USP 5 mg
0031-8732	ACTIVE INGREDIENTS (IN EACH TABLET) Acetaminophen, USP 325 mg Chlorpheniramine maleate, USP 2 mg Phenylephrine HCl, USP 5 mg
0031-8734	ACTIVE INGREDIENTS (IN EACH 5 ML TSP) Dextromethorphan HBr, USP 10 mg Guaifenesin, USP 200 mg Phenylephrine HCl, USP 5 mg
