product_ndc	proprietary_name
62011-0052	24-hour All Day Allergy	
68084-0021	Abacavir	
60505-3583	Abacavir Sulfate	
68180-0286	Abacavir Sulfate, Lamivudine and Zidovudine	
59148-0640	Abilify	
59148-0018	Abilify Maintena	
0135-0200	Abreva	
10631-0117	Absorica	
0378-6333	Acamprosate Calcium	
13548-0132	Acanya	
51862-0211	Acarbose	
0071-0530	Accupril	
0378-1200	Acebutolol Hydrochloride	
0713-0164	Acephen	
0536-1003	Aceta-gesic	
0121-0657	Acetaminophen	
0603-2339	Acetaminophen and Codeine	
68084-0372	Acetaminophen and Codeine Phosphate	
0536-3605	Acetaminophen and Diphenhydramine Hcl	
0472-0882	Acetasol Hc	
0555-0513	Acetazolamide	
0264-2304	Acetic Acid	
63323-0692	Acetylcysteine	
0904-7727	Acid Gone Antacid	
51660-0351	Acid Reducer	
0093-1136	Acitretin	
0536-4092	Acne Medication 10	
0536-0810	Acne Medication 5	
50242-0137	Actemra	
58809-0725	Active Fe	
0430-0477	Actonel	
64764-0158	Actoplus Met	
64764-0151	Actos	
0023-2181	Acular	
0023-9277	Acular Ls	
0023-3507	Acuvail	
63323-0325	Acyclovir	
0023-3670	Aczone	
0781-7142	Adapalene	
0555-0768	Adderall	
42794-0003	Adefovir Dipivoxil	
57844-0019	Adipex-p	
16103-0356	Adult Low Dose Aspirin	
0173-0715	Advair Hfa	
0074-3072	Advicor	
0573-0154	Advil	
0573-0188	Advil Allergy Sinus	
0573-0196	Advil Allergy and Congestion Relief	
0573-0184	Advil Cold and Sinus	
0573-0168	Advil Migraine	
0573-0164	Advil Pm	
75989-0550	Aerospan	
0078-0594	Afinitor	
0597-0001	Aggrenox	
17478-0238	Ak-poly-bac	
50991-0783	Ala-hist Ir	
50991-0782	Ala-hist Pe	
0573-2621	Alavert Allergy	
0573-2660	Alavert Allergy Sinus D-12	
24208-0601	Alaway	
52054-0550	Albenza	
51079-0658	Albuterol	
0378-6992	Albuterol Sulfate	
68462-0299	Alclometasone Dipropionate	
0025-1011	Aldactazide	
0025-1031	Aldactone	
