product_ndc	name
0002-1200	Amyvid
0002-1407	Quinidine Gluconate
0002-3227	Strattera
0002-3228	Strattera
0002-3229	Strattera
0002-3235	Cymbalta
0002-3238	Strattera
0002-3239	Strattera
0002-3240	Cymbalta
0002-3250	Strattera
0002-3251	Strattera
0002-3270	Cymbalta
0002-4112	Zyprexa
0002-4115	Zyprexa
0002-4116	Zyprexa
0002-4117	Zyprexa
0002-4165	Evista
0002-4415	Zyprexa
0002-4420	Zyprexa
0002-4453	Zyprexa
0002-4454	Zyprexa
0002-4455	Zyprexa
0002-4456	Zyprexa
0002-4462	Cialis
0002-4463	Cialis
0002-4464	Cialis
0002-4465	Cialis
0002-4770	Livalo
0002-4771	Livalo
0002-4772	Livalo
0002-5121	Effient
0002-5123	Effient
0002-5800	Strattera
0002-5801	Strattera
0002-5802	Strattera
0002-7140	Reopro
0002-7335	Humatrope
0002-7501	Gemzar
0002-7502	Gemzar
0002-7597	Zyprexa
0002-7623	Alimta
0002-7635	Zyprexa Relprevv
0002-7636	Zyprexa Relprevv
0002-7637	Zyprexa Relprevv
0002-7640	Alimta
0002-7669	Cyramza
0002-7678	Cyramza
0002-8031	Glucagon
0002-8147	Humatrope
0002-8148	Humatrope
0002-8149	Humatrope
0002-8215	Humulin R
0002-8315	Humulin N
0002-8400	Forteo
0002-8501	Humulin R U-500
0002-8715	Humulin 70/30
0003-0293	Kenalog-40
0003-0371	Nulojix
0003-0494	Kenalog-10
0003-0524	Sprycel
0003-0527	Sprycel
0003-0528	Sprycel
0003-0830	Hydrea
0003-0852	Sprycel
0003-0855	Sprycel
0003-0857	Sprycel
0003-0893	Eliquis
0003-0894	Eliquis
0003-1427	Farxiga
0003-1428	Farxiga
0003-1611	Baraclude
0003-1612	Baraclude
0003-1614	Baraclude
0003-1964	Zerit
0003-1965	Zerit
0003-1966	Zerit
0003-1967	Zerit
0003-1968	Zerit
0003-2187	Orencia
0003-2188	Orencia
0003-2230	Azactam
0003-2240	Azactam
0003-2327	Yervoy
0003-2328	Yervoy
0003-2560	Azactam
0003-2570	Azactam
0003-3622	Reyataz
0003-3623	Reyataz
0003-3624	Reyataz
0003-3631	Reyataz
0003-3638	Reyataz
0003-4214	Onglyza
0003-4215	Onglyza
0003-4221	Kombiglyze XR
0003-4222	Kombiglyze XR
0003-4223	Kombiglyze XR
0003-5178	Pravachol
0003-5194	Pravachol
0003-5195	Pravachol
0003-6335	Droxia
0003-6336	Droxia
0003-6337	Droxia
0004-0028	Naprosyn
0004-0038	Valcyte
0004-0039	Valcyte
0004-0058	Klonopin
0004-0068	Klonopin
0004-0086	Copegus
0004-0098	Klonopin
0004-0244	Invirase
0004-0245	Invirase
0004-0257	Xenical
0004-0259	Cellcept
0004-0260	Cellcept
0004-0261	Cellcept
0004-0298	Cellcept
0004-0381	Fuzeon
0004-0800	Tamiflu
0004-0801	Tamiflu
0004-0802	Tamiflu
0004-0820	Tamiflu
0004-0822	Tamiflu
0004-1963	Rocephin
0004-1964	Rocephin
0004-6202	Naprosyn
0004-6203	Naprosyn
0004-6313	Naprosyn
0004-6314	Naprosyn
0004-6316	Naprosyn
0004-6415	Naprosyn
0004-6416	Naprosyn
0004-6940	Cytovene IV
0005-2500	Fibercon
0006-0005	Belsomra
0006-0019	Prinivil
0006-0032	Stromectol
0006-0033	Belsomra
0006-0071	Propecia
0006-0072	Proscar
0006-0106	Prinivil
0006-0117	Singulair
0006-0207	Prinivil
0006-0266	Maxalt
0006-0267	Maxalt
0006-0275	Singulair
0006-0325	Belsomra
0006-0335	Belsomra
0006-0351	Zontivity
0006-0461	Emend
0006-0462	Emend
0006-0464	Emend
0006-0533	Juvisync
0006-0535	Juvisync
0006-0537	Juvisync
0006-0568	Zolinza
0006-0570	Crixivan
0006-0571	Crixivan
0006-0573	Crixivan
0006-0705	Noroxin
0006-0711	Singulair
0006-0717	Hyzaar
0006-0731	Mevacor
0006-0732	Mevacor
0006-0745	Hyzaar
0006-0747	Hyzaar
0006-0753	Juvisync
0006-0757	Juvisync
0006-0773	Juvisync
0006-0951	Cozaar
0006-0952	Cozaar
0006-0960	Cozaar
0006-1711	Singulair
0006-3029	Keytruda
0006-3395	Aminohippurate Sodium PAH
0006-3514	Primaxin IV
0006-3516	Primaxin IV
0006-3519	Trusopt
0006-3551	Primaxin IV
0006-3552	Primaxin IV
0006-3628	Cosopt
0006-3629	Cosopt PF
0006-3800	Maxalt
0006-3801	Maxalt
0006-3822	Cancidas
0006-3823	Cancidas
0006-3841	Singulair
0006-3843	Invanz
0006-3845	Invanz
0006-3862	Emend
0006-3884	Emend
0006-3915	Sinemet
0006-3916	Sinemet
0006-3917	Sinemet
0006-3918	Sinemet CR
0006-3919	Sinemet CR
0006-3931	Zioptan
0006-3941	Emend
0006-9117	Singulair
0006-9275	Singulair
0007-3230	Arixtra
0007-3232	Arixtra
0007-3234	Arixtra
0007-3236	Arixtra
0007-3260	Bexxar
0007-3261	Bexxar
0007-3262	Bexxar
0007-3370	Coreg CR
0007-3371	Coreg CR
0007-3372	Coreg CR
0007-3373	Coreg CR
0007-3650	Dyazide
0007-4139	Coreg
0007-4140	Coreg
0007-4141	Coreg
0007-4142	Coreg
0007-4201	Hycamtin
0007-4205	Hycamtin
0007-4207	Hycamtin
0007-4401	Arranon
0007-4407	Argatroban
0007-4640	Promacta
0007-4641	Promacta
0007-4642	Promacta
0007-4643	Promacta
0007-4646	Promacta
0007-4882	Requip XL
0007-4883	Requip XL
0007-4885	Requip XL
0007-4887	Requip XL
0007-4888	Requip XL
0007-4890	Requip
0007-4891	Requip
0007-4892	Requip
0007-4893	Requip
0007-4894	Requip
0007-4895	Requip
0007-4896	Requip
0007-5180	Altabax
0008-0407	Antivenin (micrurus Fulvius)
0008-0606	Pantoprazole Sodium Delayed-release
0008-0607	Pantoprazole Sodium Delayed-release
0008-0841	Protonix Delayed-release
0008-0843	Protonix Delayed-release
0008-0844	Protonix Delayed-release
0008-0923	Protonix I.v.
0008-0941	Protonix I.v.
0008-1030	Rapamune
0008-1040	Rapamune
0008-1041	Rapamune
0008-1042	Rapamune
0008-1123	Duavee
0008-1211	Pristiq Extended-release
0008-1222	Pristiq Extended-release
0008-2001	Protonix I.v.
0008-4001	Protonix I.v.
0008-4117	Trecator
0008-4188	Cordarone
0008-4990	Tygacil
0009-0003	Solu-medrol
0009-0005	Solu-cortef
0009-0011	Solu-cortef
0009-0012	Cortef
0009-0013	Solu-cortef
0009-0016	Solu-cortef
0009-0017	Halcion
0009-0018	Solu-medrol
0009-0020	Medrol
0009-0022	Medrol
0009-0024	Didrex
0009-0029	Xanax
0009-0031	Cortef
0009-0039	Solu-medrol
0009-0039	Solu-medrol
0009-0044	Cortef
0009-0047	Solu-medrol
0009-0047	Solu-medrol
0009-0049	Medrol
0009-0050	Provera
0009-0055	Xanax
0009-0056	Medrol
0009-0057	Xanax XR
0009-0059	Xanax XR
0009-0064	Provera
0009-0066	Xanax XR
0009-0068	Xanax XR
0009-0073	Medrol
0009-0085	Depo-testosterone
0009-0086	Depo-testosterone
0009-0090	Xanax
0009-0094	Xanax
0009-0113	Solu-medrol
0009-0176	Medrol
0009-0190	Solu-medrol
0009-0233	Bacitracin
0009-0234	Bacitracin
0009-0241	Bacitracin
0009-0260	Colestid
0009-0271	Depo-estradiol
0009-0274	Depo-medrol
0009-0280	Depo-medrol
0009-0286	Provera
0009-0302	Cleocin Phosphate
0009-0306	Depo-medrol
0009-0341	Glynase
0009-0352	Glynase
0009-0370	Colestid
0009-0436	R-gene
0009-0450	Colestid
0009-0520	Depo-testosterone
0009-0602	Cleocin Phosphate
0009-0626	Depo-provera
0009-0698	Solu-medrol
0009-0728	Cleocin Phosphate
0009-0758	Solu-medrol
0009-0760	Cleocin Pediatric
0009-0765	Solu-medrol
0009-0775	Cleocin Phosphate
0009-0796	Solu-medrol
0009-0825	Solu-cortef
0009-0827	Prostin E2
0009-0856	Hemabate
0009-0870	Cleocin Phosphate
0009-0900	Solu-cortef
0009-0901	Cleocin Phosphate
0009-0902	Cleocin Phosphate
0009-0909	Solu-cortef
0009-0912	Solu-cortef
0009-0920	Solu-cortef
0009-1111	Camptosar
0009-3073	Depo-medrol
0009-3116	Cleocin T
0009-3124	Cleocin Phosphate
0009-3169	Prostin VR Pediatric
0009-3329	Cleocin T
0009-3331	Cleocin T
0009-3359	Prepidil
0009-3375	Cleocin Phosphate
0009-3381	Cleocin Phosphate
0009-3382	Cleocin Phosphate
0009-3389	Solu-medrol
0009-3447	Cleocin Phosphate
0009-3448	Cleocin
0009-3449	Glynase
0009-3475	Depo-medrol
0009-3701	Caverject
0009-3778	Caverject
0009-3794	Corvert
0009-4541	Detrol
0009-4544	Detrol
0009-5012	Glyset
0009-5013	Glyset
0009-5014	Glyset
0009-5091	Ellence
0009-5093	Ellence
0009-5131	Caverject
0009-5134	Zyvox
0009-5135	Zyvox
0009-5136	Zyvox
0009-5137	Zyvox
0009-5139	Zyvox
0009-5140	Zyvox
0009-5176	Somavert
0009-5178	Somavert
0009-5180	Somavert
0009-5181	Caverject Impulse
0009-5182	Caverject Impulse
0009-5190	Detrol LA
0009-5191	Detrol LA
0009-5199	Somavert
0009-5200	Somavert
0009-5400	Nicotrol
0009-5401	Nicotrol
0009-7224	Atgam
0009-7529	Camptosar
0009-7663	Aromasin
0009-7667	Cleocin
0009-7686	Caverject
0013-0101	Azulfidine
0013-0102	Azulfidine En-tabs
0013-0132	Emcyt
0013-2150	Estring
0013-2200	Idamycin PFS
0013-2201	Idamycin PFS
0013-2202	Idamycin PFS
0013-2576	Idamycin PFS
0013-2586	Idamycin PFS
0013-2596	Idamycin PFS
0013-2626	Genotropin
0013-2646	Genotropin
0013-2649	Genotropin
0013-2650	Genotropin
0013-2651	Genotropin
0013-2652	Genotropin
0013-2653	Genotropin
0013-2654	Genotropin
0013-2655	Genotropin
0013-2656	Genotropin
0013-2657	Genotropin
0013-2658	Genotropin
0013-5301	Mycobutin
0013-8303	Xalatan
0013-8717	Zinecard
0013-8727	Zinecard
0023-0042	Tazorac
0023-0066	Pred-g
0023-0106	Pred-g
0023-0240	Refresh P.m.
0023-0312	Refresh Lacri-lube
0023-0313	Blephamide
0023-0316	Fml
0023-0403	Refresh Plus
0023-0506	Refresh Classic
0023-0798	Refresh Tears
0023-1145	Botox
0023-2181	Acular
0023-3205	Lumigan
0023-3240	Refresh Optive
0023-3348	Ozurdex
0023-3416	Refresh Optive
0023-3459	Vivite Daily Facial Moisturizer With Sunscreen SPF 30
0023-3507	Acuvail
0023-3513	Sanctura
0023-3615	Zymaxid
0023-3616	Latisse
0023-3670	Aczone
0023-3919	Botox Cosmetic
0023-3921	Botox
0023-4290	Lastacaft
0023-4307	Refresh Optive Advanced
0023-4383	Vivite Aftercare Environmental Protection Sunscreen SPF 30
0023-4385	Betagan
0023-4491	Refresh Optive Advanced
0023-4526	Betagan
0023-4554	Refresh Celluvisc
0023-4857	Vaniqa
0023-4948	Skin Medica Purifying Foaming Wash
0023-4951	Skinmedica Purifying Toner
0023-4953	Skinmedica TNS Ultimate Daily Moisturizer Sunscreen SPF 20
0023-4963	Skinmedica Daily Physical Defense SPF 30 Sunscreen
0023-4964	Skinmedica Environmental Defense Sunscreen SPF 50
0023-4965	Skinmedica Acne Treatment
0023-7824	Polytrim
0023-8335	Tazorac
0023-8694	Azelex
0023-8842	Alocril
0023-9155	Tazorac
0023-9156	Tazorac
0023-9163	Restasis
0023-9177	Alphagan P
0023-9187	Lumigan
0023-9201	Elestat
0023-9205	Refresh Liquigel
0023-9211	Combigan
0023-9232	Botox Cosmetic
0023-9236	Avage
0023-9277	Acular LS
0023-9321	Alphagan P
0023-9350	Sanctura XR
0024-0222	Eligard
0024-0335	Demerol
0024-0337	Demerol
0024-0393	Drisdol
0024-0590	Eloxatin
0024-0591	Eloxatin
0024-0605	Eligard
0024-0610	Eligard
0024-0793	Eligard
0024-1535	Phisohex
0024-1562	Plaquenil
0024-1596	Primaquine Phosphate
0024-2791	Ferrlecit
0024-2792	Ferrlecit
0024-2794	Ferrlecit
0024-4142	Multaq
0024-4200	Uroxatral
0024-5150	Elitek
0024-5151	Elitek
0024-5401	Ambien
0024-5421	Ambien
0024-5501	Ambien CR
0024-5521	Ambien CR
0024-5800	Xyzal
0024-5801	Xyzal
0024-5810	Aplenzin
0024-5811	Aplenzin
0024-5812	Aplenzin
0024-5820	Oforta
0024-5824	Jevtana
0024-5831	Auvi-q
0024-5833	Auvi-q
0024-5840	Zaltrap
0024-5841	Zaltrap
0024-5843	Leukine
0024-5844	Leukine
0024-5850	Avapro
0024-5851	Avapro
0024-5852	Avapro
0024-5855	Avalide
0024-5856	Avalide
0024-5858	Daunorubicin Hydrochloride
0024-5860	Clolar
0024-5862	Mozobil
0024-5874	Afrezza
0024-5882	Afrezza
0024-5884	Afrezza
0025-0061	Lomotil
0025-0066	Lomotil
0025-0166	Synarel
0025-1001	Aldactone
0025-1011	Aldactazide
0025-1021	Aldactazide
0025-1031	Aldactone
0025-1041	Aldactone
0025-1381	Daypro
0025-1411	Arthrotec
0025-1421	Arthrotec
0025-1451	Cytotec
0025-1461	Cytotec
0025-1515	Celebrex
0025-1520	Celebrex
0025-1525	Celebrex
0025-1530	Celebrex
0025-1821	Flagyl
0025-1831	Flagyl
0025-1851	Calan
0025-1861	Calan
0025-1891	Calan SR
0025-1901	Calan SR
0025-1911	Calan SR
0025-1942	Flagyl
0025-1961	Flagyl ER
0025-2011	Covera-hs
0025-2021	Covera-hs
0025-2732	Norpace
0025-2742	Norpace
0025-2752	Norpace
0025-2762	Norpace
0029-1525	Bactroban
0029-1526	Bactroban
0029-1527	Bactroban
0029-6571	Timentin
0029-6575	Timentin
0029-6579	Timentin
0031-2234	Childrens Dimetapp Cold AND Cough
0031-2235	Childrens Dimetapp Cold AND Allergy
0031-2238	Childrens Dimetapp Long Acting Cough Plus Cold
0031-2246	Childrens Dimetapp Multisymptom Cold AND FLU
0031-2247	Childrens Dimetapp Nighttime Cold AND Congestion
0031-2249	Childrens Dimetapp Multi-symptom Cold and Flu
0031-2293	Childrens Dimetapp Cold AND Allergy
0031-8649	Robitussin Medi-soothers Cough DM
0031-8692	Childrens Robitussin Nighttime Cough Long-acting DM
0031-8693	Childrens Robitussin Cough AND Cold Long-acting
0031-8694	Childrens Robitussin Cough Long-acting
0031-8698	Robitussin Night Time Cough AND Cold
0031-8712	Robitussin TO GO Cough AND Chest Congestion DM
0031-8713	Robitussin TO GO Cough AND Cold CF
0031-8715	Childrens Robitussin Cough and Chest Congestion DM
0031-8716	Childrens Robitussin Cough and Cold CF
0031-8717	Robitussin Maximum Strength Nighttime Cough DM
0031-8719	Robitussin Maximum Strength Cough Plus Chest Congestion DM
0031-8721	Robitussin Peak Cold Daytime Cold Plus FLU
0031-8722	Robitussin Peak Cold Nighttime Cold Plus FLU
0031-8724	Robitussin Mucus Plus Chest Congestion
0031-8731	Robitussin Peak Cold Nasal Relief
0031-8732	Robitussin Peak Cold Nighttime Nasal Relief
0031-8734	Robitussin Peak Cold Maximum Strength Multi-symptom Cold
0031-8735	Robitussin Peak Cold Nighttime Multi-symptom Cold
0031-8736	Robitussin Peak Cold Cough Plus Chest Congestion DM
0031-8737	Robitussin Peak Cold Cough Plus Chest Congestion DM
0031-8738	Robitussin Peak Cold Maximum Strength Cough Plus Chest Congestion DM
0031-8740	Robitussin Lingering Cold Long-acting Cough
0031-8741	Robitussin Lingering Cold Long-acting Coughgels
0031-8742	Robitussin Peak Cold Multi-symptom Cold
0032-1101	Aceon
0032-1102	Aceon
0032-1103	Aceon
0032-1203	Creon
0032-1206	Creon
0032-1212	Creon
0032-1224	Creon
0032-1708	Prometrium
0032-1711	Prometrium
0032-3016	Creon
0037-0110	Butisol Sodium
0037-0113	Butisol Sodium
0037-0114	Butisol Sodium
