Key	Value
0002-1200	Florbetapir F 18
0002-1407	Quinidine Gluconate
0002-3227	Atomoxetine Hydrochloride
0002-3228	Atomoxetine Hydrochloride
0002-3229	Atomoxetine Hydrochloride
0002-3235	Duloxetine Hydrochloride
0002-3238	Atomoxetine Hydrochloride
0002-3239	Atomoxetine Hydrochloride
0002-3240	Duloxetine Hydrochloride
0002-3250	Atomoxetine Hydrochloride
0002-3251	Atomoxetine Hydrochloride
0002-3270	Duloxetine Hydrochloride
0002-4112	Olanzapine
0002-4115	Olanzapine
0002-4116	Olanzapine
0002-4117	Olanzapine
0002-4165	Raloxifene Hydrochloride
0002-4415	Olanzapine
0002-4420	Olanzapine
0002-4453	Olanzapine
0002-4454	Olanzapine
0002-4455	Olanzapine
0002-4456	Olanzapine
0002-4462	Tadalafil
0002-4463	Tadalafil
0002-4464	Tadalafil
0002-4465	Tadalafil
0002-4770	Pitavastatin Calcium
0002-4771	Pitavastatin Calcium
0002-4772	Pitavastatin Calcium
0002-5121	Prasugrel Hydrochloride
0002-5123	Prasugrel Hydrochloride
0002-5800	Atomoxetine Hydrochloride
0002-5801	Atomoxetine Hydrochloride
0002-5802	Atomoxetine Hydrochloride
0002-7140	Abciximab
0002-7335	Somatropin
0002-7501	Gemcitabine Hydrochloride
0002-7502	Gemcitabine Hydrochloride
0002-7597	Olanzapine
0002-7623	Pemetrexed Disodium
0002-7635	Olanzapine Pamoate
0002-7636	Olanzapine Pamoate
0002-7637	Olanzapine Pamoate
0002-7640	Pemetrexed Disodium
0002-7669	Ramucirumab
0002-7678	Ramucirumab
0002-8031	Glucagon
0002-8147	Somatropin
0002-8148	Somatropin
0002-8149	Somatropin
0002-8215	Insulin Human
0002-8315	Insulin Human
0002-8400	Teriparatide
0002-8501	Insulin Human
0002-8715	Insulin Human
0003-0293	Triamcinolone Acetonide
0003-0371	Belatacept
0003-0494	Triamcinolone Acetonide
0003-0524	Dasatinib
0003-0527	Dasatinib
0003-0528	Dasatinib
0003-0830	Hydroxyurea
0003-0852	Dasatinib
0003-0855	Dasatinib
0003-0857	Dasatinib
0003-0893	Apixaban
0003-0894	Apixaban
0003-1427	Dapagliflozin
0003-1428	Dapagliflozin
0003-1611	Entecavir
0003-1612	Entecavir
0003-1614	Entecavir
0003-1964	Stavudine
0003-1965	Stavudine
0003-1966	Stavudine
0003-1967	Stavudine
0003-1968	Stavudine
0003-2187	Abatacept
0003-2188	Abatacept
0003-2230	Aztreonam
0003-2240	Aztreonam
0003-2327	Ipilimumab
0003-2328	Ipilimumab
0003-2560	Aztreonam
0003-2570	Aztreonam
0003-3622	Atazanavir
0003-3623	Atazanavir
0003-3624	Atazanavir
0003-3631	Atazanavir
0003-3638	Atazanavir
0003-4214	Saxagliptin
0003-4215	Saxagliptin
0003-4221	Saxagliptin AND Metformin Hydrochloride
0003-4222	Saxagliptin AND Metformin Hydrochloride
0003-4223	Saxagliptin AND Metformin Hydrochloride
0003-5178	Pravastatin Sodium
0003-5194	Pravastatin Sodium
