Key	Value
0002-1200	Eli Lilly and Company
0002-1407	Eli Lilly and Company
0002-3227	Eli Lilly and Company
0002-3228	Eli Lilly and Company
0002-3229	Eli Lilly and Company
0002-3235	Eli Lilly and Company
0002-3238	Eli Lilly and Company
0002-3239	Eli Lilly and Company
0002-3240	Eli Lilly and Company
0002-3250	Eli Lilly and Company
0002-3251	Eli Lilly and Company
0002-3270	Eli Lilly and Company
0002-4112	Eli Lilly and Company
0002-4115	Eli Lilly and Company
0002-4116	Eli Lilly and Company
0002-4117	Eli Lilly and Company
0002-4165	Eli Lilly and Company
0002-4415	Eli Lilly and Company
0002-4420	Eli Lilly and Company
0002-4453	Eli Lilly and Company
0002-4454	Eli Lilly and Company
0002-4455	Eli Lilly and Company
0002-4456	Eli Lilly and Company
0002-4462	Eli Lilly and Company
0002-4463	Eli Lilly and Company
0002-4464	Eli Lilly and Company
0002-4465	Eli Lilly and Company
0002-4770	Eli Lilly and Company
0002-4771	Eli Lilly and Company
0002-4772	Eli Lilly and Company
0002-5121	Eli Lilly and Company
0002-5123	Eli Lilly and Company
0002-5800	Eli Lilly and Company
0002-5801	Eli Lilly and Company
0002-5802	Eli Lilly and Company
0002-7140	Eli Lilly and Company
0002-7335	Eli Lilly and Company
0002-7501	Eli Lilly and Company
0002-7502	Eli Lilly and Company
0002-7597	Eli Lilly and Company
0002-7623	Eli Lilly and Company
0002-7635	Eli Lilly and Company
0002-7636	Eli Lilly and Company
0002-7637	Eli Lilly and Company
0002-7640	Eli Lilly and Company
0002-7669	Eli Lilly and Company
0002-7678	Eli Lilly and Company
0002-8031	Eli Lilly and Company
0002-8147	Eli Lilly and Company
0002-8148	Eli Lilly and Company
0002-8149	Eli Lilly and Company
0002-8215	Eli Lilly and Company
0002-8315	Eli Lilly and Company
0002-8400	Eli Lilly and Company
0002-8501	Eli Lilly and Company
0002-8715	Eli Lilly and Company
0003-0293	E.R. Squibb & Sons, L.L.C.
