Key	Value
0002-8215	Insulin
0002-8315	Insulin
0002-8400	Parathyroid Hormone
0002-8501	Insulin
0002-8715	Insulin
0003-0830	Urea
0003-1964	Nucleoside Analog
0003-1965	Nucleoside Analog
0003-1966	Nucleoside Analog
0003-1967	Nucleoside Analog
0003-1968	Nucleoside Analog
0003-2187	Recombinant Fusion Proteins
0003-2188	Recombinant Fusion Proteins
0003-2230	Monobactams
0003-2240	Monobactams
0003-2560	Monobactams
0003-2570	Monobactams
0003-4221	Biguanides
0003-4222	Biguanides
0003-4223	Biguanides
0003-6335	Urea
0003-6336	Urea
0003-6337	Urea
0004-0028	Nonsteroidal Anti-inflammatory Compounds
0004-0038	Nucleoside Analog
0004-0039	Nucleoside Analog
0004-0058	Benzodiazepines
0004-0068	Benzodiazepines
0004-0086	Nucleoside Analog
0004-0098	Benzodiazepines
0004-1963	Cephalosporins
0004-1964	Cephalosporins
0004-6202	Nonsteroidal Anti-inflammatory Compounds
0004-6203	Nonsteroidal Anti-inflammatory Compounds
0004-6313	Nonsteroidal Anti-inflammatory Compounds
0004-6314	Nonsteroidal Anti-inflammatory Compounds
0004-6316	Nonsteroidal Anti-inflammatory Compounds
0004-6415	Nonsteroidal Anti-inflammatory Compounds
0004-6416	Nonsteroidal Anti-inflammatory Compounds
0004-6940	Nucleoside Analog
0005-2500	Calcium
0006-0266	Dietary Proteins
0006-0266	Allergens
0006-0266	Grain Proteins
0006-0267	Dietary Proteins
0006-0267	Grain Proteins
0006-0267	Allergens
0006-0705	Quinolones
0006-3800	Dietary Proteins
0006-3800	Allergens
0006-3800	Grain Proteins
0006-3801	Dietary Proteins
0006-3801	Grain Proteins
0006-3801	Allergens
0006-3822	Lipopeptides
0006-3823	Lipopeptides
0006-3843	Carbapenems
0006-3845	Carbapenems
0006-3931	Prostaglandins
0007-3650	Thiazides
0007-5180	Pleuromutilin
0008-4990	Tetracyclines
0009-0017	Benzodiazepines
0009-0029	Benzodiazepines
0009-0050	Progesterone Congeners
0009-0055	Benzodiazepines
0009-0057	Benzodiazepines
0009-0059	Benzodiazepines
0009-0064	Progesterone Congeners
0009-0066	Benzodiazepines
0009-0068	Benzodiazepines
0009-0085	Androstanes
0009-0086	Androstanes
0009-0090	Benzodiazepines
0009-0094	Benzodiazepines
0009-0271	Estradiol Congeners
0009-0286	Progesterone Congeners
0009-0302	Lincosamides
0009-0341	Sulfonylurea Compounds
0009-0352	Sulfonylurea Compounds
0009-0520	Androstanes
0009-0602	Lincosamides
0009-0626	Progesterone Congeners
0009-0728	Lincosamides
0009-0760	Lincosamides
0009-0775	Lincosamides
0009-0827	Prostaglandins
0009-0856	Prostaglandins
0009-0870	Lincosamides
0009-0901	Lincosamides
0009-0902	Lincosamides
0009-3116	Lincosamides
0009-3124	Lincosamides
0009-3169	Prostaglandins
0009-3329	Lincosamides
0009-3331	Lincosamides
0009-3359	Prostaglandins
0009-3375	Lincosamides
0009-3381	Lincosamides
0009-3382	Lincosamides
0009-3447	Lincosamides
0009-3448	Lincosamides
0009-3449	Sulfonylurea Compounds
0009-3701	Prostaglandins
0009-3778	Prostaglandins
0009-5091	Anthracyclines
0009-5093	Anthracyclines
0009-5131	Prostaglandins
0009-5134	Oxazolidinones
0009-5135	Oxazolidinones
0009-5136	Oxazolidinones
0009-5137	Oxazolidinones
0009-5139	Oxazolidinones
0009-5140	Oxazolidinones
0009-5181	Prostaglandins
0009-5182	Prostaglandins
0009-5400	Nicotine
0009-5401	Nicotine
0009-7224	Immunoglobulins
0009-7667	Lincosamides
0009-7686	Prostaglandins
0013-0101	Aminosalicylic Acids
0013-0102	Aminosalicylic Acids
0013-0132	Nitrogen Mustard Compounds
0013-0132	Estradiol
0013-2150	Estradiol Congeners
0013-2200	Anthracyclines
0013-2201	Anthracyclines
0013-2202	Anthracyclines
0013-2576	Anthracyclines
0013-2586	Anthracyclines
0013-2596	Anthracyclines
0013-5301	Rifamycins
0013-8303	Prostaglandins
0023-0042	Retinoids
0023-0066	Aminoglycosides
0023-0106	Aminoglycosides
0023-2181	Nonsteroidal Anti-inflammatory Compounds
0023-3205	Prostaglandins
0023-3240	Allergens
0023-3240	Glycerol
0023-3416	Allergens
0023-3416	Glycerol
0023-3507	Nonsteroidal Anti-inflammatory Compounds
0023-3616	Prostaglandins
0023-3670	Sulfones
0023-4307	Glycerol
0023-4307	Allergens
0023-4491	Glycerol
0023-4491	Allergens
0023-7824	Polymyxins
0023-8335	Retinoids
0023-9155	Retinoids
0023-9156	Retinoids
0023-9187	Prostaglandins
0023-9236	Retinoids
0023-9277	Nonsteroidal Anti-inflammatory Compounds
0024-0393	Ergocalciferols
0024-0590	Platinum-containing Compounds
0024-0591	Platinum-containing Compounds
0024-2791	Iron
0024-2792	Iron
0024-2794	Iron
0024-5401	Pyridines
0024-5421	Pyridines
0024-5501	Pyridines
0024-5521	Pyridines
0024-5831	Catecholamines
0024-5833	Catecholamines
0024-5843	Granulocyte Colony-stimulating Factor
0024-5843	Granulocyte-macrophage Colony-stimulating Factor
0024-5844	Granulocyte Colony-stimulating Factor
0024-5844	Granulocyte-macrophage Colony-stimulating Factor
0024-5855	Thiazides
0024-5856	Thiazides
0024-5858	Anthracyclines
0024-5874	Insulin
0024-5882	Insulin
0024-5884	Insulin
0025-1381	Nonsteroidal Anti-inflammatory Compounds
0025-1411	Nonsteroidal Anti-inflammatory Compounds
0025-1421	Nonsteroidal Anti-inflammatory Compounds
0025-1451	Prostaglandins E, Synthetic
0025-1461	Prostaglandins E, Synthetic
0025-1515	Nonsteroidal Anti-inflammatory Compounds
0025-1520	Nonsteroidal Anti-inflammatory Compounds
0025-1525	Nonsteroidal Anti-inflammatory Compounds
0025-1530	Nonsteroidal Anti-inflammatory Compounds
0025-1821	Nitroimidazoles
0025-1831	Nitroimidazoles
0025-1942	Nitroimidazoles
0025-1961	Nitroimidazoles
0029-6571	Penicillins
0029-6575	Penicillins
0029-6579	Penicillins
0032-1708	Progesterone
0032-1711	Progesterone
0037-1221	Cannabinoids
0037-6010	Pyridines
0037-6050	Pyridines
0037-6885	Vitamin B 12
0037-8110	Prostaglandins
0037-8120	Prostaglandins
0037-8130	Prostaglandins
0037-8140	Prostaglandins
0039-0017	Cephalosporins
0039-0018	Cephalosporins
0039-0019	Cephalosporins
0039-0020	Cephalosporins
0039-0023	Cephalosporins
0039-0024	Cephalosporins
0039-0037	Cephalosporins
0039-0038	Cephalosporins
0039-0051	Sulfonylurea Compounds
0039-0052	Sulfonylurea Compounds
0039-0053	Sulfonylurea Compounds
0039-0221	Sulfonylurea Compounds
0039-0222	Sulfonylurea Compounds
0039-0223	Sulfonylurea Compounds
0046-0749	Estrogens, Conjugated (usp)
0046-0872	Estrogens, Conjugated (usp)
0046-1100	Estrogens, Conjugated (usp)
0046-1101	Estrogens, Conjugated (usp)
0046-1102	Estrogens, Conjugated (usp)
0046-1103	Estrogens, Conjugated (usp)
0046-1104	Estrogens, Conjugated (usp)
0049-0013	Penicillins
0049-0014	Penicillins
0049-0022	Penicillins
0049-0023	Penicillins
0049-0024	Penicillins
0049-0031	Penicillins
0049-0032	Penicillins
0049-0170	Sulfonylurea Compounds
0049-0174	Sulfonylurea Compounds
0049-0178	Sulfonylurea Compounds
0049-0520	Penicillins
0049-0530	Penicillins
0049-1550	Sulfonylurea Compounds
0049-1560	Sulfonylurea Compounds
0049-1620	Sulfonylurea Compounds
0049-3160	Azoles
0049-3170	Azoles
0049-3180	Azoles
0049-3190	Azoles
0049-3371	Azoles
0049-3372	Azoles
0049-3410	Azoles
0049-3420	Azoles
0049-3430	Azoles
0049-3435	Azoles
0049-3436	Azoles
0049-3437	Azoles
0049-3438	Azoles
0049-3440	Azoles
0049-3450	Azoles
0049-3500	Azoles
0049-4110	Sulfonylurea Compounds
0049-4120	Sulfonylurea Compounds
0049-4190	Azoles
0051-8425	Androstanes
0051-8450	Androstanes
0051-8462	Androstanes
0051-8488	Androstanes
0052-0272	Progesterone Congeners
0052-0273	Estradiol Congeners
0052-0274	Progesterone Congeners
0052-0308	Gonadotropins
