product_ndc	class_name
0002-1200	Radioactive Diagnostic Agent For Positron Emission Tomography
0002-1407	Antiarrhythmic
0002-1407	Cytochrome P450 2d6 Inhibitor
0002-3227	Norepinephrine Reuptake Inhibitor
0002-3228	Norepinephrine Reuptake Inhibitor
0002-3229	Norepinephrine Reuptake Inhibitor
0002-3235	Serotonin and Norepinephrine Reuptake Inhibitor
0002-3238	Norepinephrine Reuptake Inhibitor
0002-3239	Norepinephrine Reuptake Inhibitor
0002-3240	Serotonin and Norepinephrine Reuptake Inhibitor
0002-3250	Norepinephrine Reuptake Inhibitor
0002-3251	Norepinephrine Reuptake Inhibitor
0002-3270	Serotonin and Norepinephrine Reuptake Inhibitor
0002-4112	Atypical Antipsychotic
0002-4115	Atypical Antipsychotic
0002-4116	Atypical Antipsychotic
0002-4117	Atypical Antipsychotic
0002-4165	Estrogen Agonist/antagonist
0002-4415	Atypical Antipsychotic
0002-4420	Atypical Antipsychotic
0002-4453	Atypical Antipsychotic
0002-4454	Atypical Antipsychotic
0002-4455	Atypical Antipsychotic
0002-4456	Atypical Antipsychotic
0002-4462	Phosphodiesterase 5 Inhibitor
0002-4463	Phosphodiesterase 5 Inhibitor
0002-4464	Phosphodiesterase 5 Inhibitor
0002-4465	Phosphodiesterase 5 Inhibitor
0002-4770	Hmg-coa Reductase Inhibitor
0002-4771	Hmg-coa Reductase Inhibitor
0002-4772	Hmg-coa Reductase Inhibitor
0002-5121	P2y12 Platelet Inhibitor
0002-5123	P2y12 Platelet Inhibitor
0002-5800	Norepinephrine Reuptake Inhibitor
0002-5801	Norepinephrine Reuptake Inhibitor
0002-5802	Norepinephrine Reuptake Inhibitor
0002-7501	Nucleoside Metabolic Inhibitor
0002-7502	Nucleoside Metabolic Inhibitor
0002-7597	Atypical Antipsychotic
0002-7623	Folate Analog Metabolic Inhibitor
0002-7640	Folate Analog Metabolic Inhibitor
0002-8215	Insulin
0002-8315	Insulin
0002-8400	Parathyroid Hormone Analog
0002-8501	Insulin
0002-8715	Insulin
0003-0293	Corticosteroid
0003-0371	Selective T Cell Costimulation Blocker
0003-0494	Corticosteroid
0003-0830	Antimetabolite
0003-0893	Factor Xa Inhibitor
0003-0894	Factor Xa Inhibitor
0003-1427	Sodium-glucose Cotransporter 2 Inhibitor
0003-1428	Sodium-glucose Cotransporter 2 Inhibitor
0003-1964	Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor
0003-1965	Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor
0003-1966	Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor
0003-1967	Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor
0003-1968	Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor
0003-2187	Selective T Cell Costimulation Modulator
0003-2188	Selective T Cell Costimulation Modulator
0003-2230	Monobactam Antibacterial
0003-2240	Monobactam Antibacterial
0003-2327	Ctla-4-directed Blocking Antibody
0003-2328	Ctla-4-directed Blocking Antibody
0003-2560	Monobactam Antibacterial
0003-2570	Monobactam Antibacterial
0003-3622	Protease Inhibitor
0003-3623	Protease Inhibitor
0003-3624	Protease Inhibitor
0003-3631	Protease Inhibitor
0003-3638	Protease Inhibitor
0003-4221	Biguanide
0003-4222	Biguanide
0003-4223	Biguanide
0003-5178	Hmg-coa Reductase Inhibitor
0003-5194	Hmg-coa Reductase Inhibitor
0003-5195	Hmg-coa Reductase Inhibitor
0003-6335	Antimetabolite
0003-6336	Antimetabolite
0003-6337	Antimetabolite
0004-0028	Nonsteroidal Anti-inflammatory Drug
0004-0038	Nucleoside Analog Antiviral
0004-0038	Cytomegalovirus Nucleoside Analog Dna Polymerase Inhibitor
0004-0039	Nucleoside Analog Antiviral
0004-0039	Cytomegalovirus Nucleoside Analog Dna Polymerase Inhibitor
0004-0058	Benzodiazepine
0004-0068	Benzodiazepine
0004-0086	Nucleoside Analog Antiviral
0004-0098	Benzodiazepine
0004-0244	Protease Inhibitor
0004-0245	Protease Inhibitor
0004-0257	Intestinal Lipase Inhibitor
0004-0800	Neuraminidase Inhibitor
0004-0801	Neuraminidase Inhibitor
0004-0802	Neuraminidase Inhibitor
0004-0820	Neuraminidase Inhibitor
0004-0822	Neuraminidase Inhibitor
0004-1963	Cephalosporin Antibacterial
0004-1964	Cephalosporin Antibacterial
0004-6202	Nonsteroidal Anti-inflammatory Drug
0004-6203	Nonsteroidal Anti-inflammatory Drug
0004-6313	Nonsteroidal Anti-inflammatory Drug
0004-6314	Nonsteroidal Anti-inflammatory Drug
0004-6316	Nonsteroidal Anti-inflammatory Drug
0004-6415	Nonsteroidal Anti-inflammatory Drug
0004-6416	Nonsteroidal Anti-inflammatory Drug
0004-6940	Cytomegalovirus Nucleoside Analog Dna Polymerase Inhibitor
0004-6940	Nucleoside Analog Antiviral
0005-2500	Calcium
0005-2500	Phosphate Binder
0006-0032	Pediculicide
0006-0032	Antiparasitic
0006-0071	5-alpha Reductase Inhibitor
0006-0072	5-alpha Reductase Inhibitor
0006-0117	Leukotriene Receptor Antagonist
0006-0266	Non-standardized Food Allergenic Extract
0006-0267	Non-standardized Food Allergenic Extract
0006-0275	Leukotriene Receptor Antagonist
0006-0461	Substance P/neurokinin-1 Receptor Antagonist
0006-0462	Substance P/neurokinin-1 Receptor Antagonist
0006-0464	Substance P/neurokinin-1 Receptor Antagonist
0006-0533	Hmg-coa Reductase Inhibitor
0006-0535	Hmg-coa Reductase Inhibitor
0006-0537	Hmg-coa Reductase Inhibitor
0006-0568	Histone Deacetylase Inhibitor
0006-0705	Quinolone Antimicrobial
0006-0711	Leukotriene Receptor Antagonist
0006-0717	Angiotensin 2 Receptor Blocker
0006-0731	Hmg-coa Reductase Inhibitor
0006-0732	Hmg-coa Reductase Inhibitor
0006-0745	Angiotensin 2 Receptor Blocker
0006-0747	Angiotensin 2 Receptor Blocker
0006-0753	Hmg-coa Reductase Inhibitor
0006-0757	Hmg-coa Reductase Inhibitor
0006-0773	Hmg-coa Reductase Inhibitor
0006-0951	Angiotensin 2 Receptor Blocker
0006-0952	Angiotensin 2 Receptor Blocker
0006-0960	Angiotensin 2 Receptor Blocker
0006-1711	Leukotriene Receptor Antagonist
0006-3514	Renal Dehydropeptidase Inhibitor
0006-3516	Renal Dehydropeptidase Inhibitor
0006-3519	Carbonic Anhydrase Inhibitor
0006-3551	Renal Dehydropeptidase Inhibitor
0006-3552	Renal Dehydropeptidase Inhibitor
0006-3628	Carbonic Anhydrase Inhibitor
0006-3629	Carbonic Anhydrase Inhibitor
0006-3800	Non-standardized Food Allergenic Extract
0006-3801	Non-standardized Food Allergenic Extract
0006-3822	Echinocandin Antifungal
0006-3823	Echinocandin Antifungal
0006-3841	Leukotriene Receptor Antagonist
0006-3843	Penem Antibacterial
0006-3845	Penem Antibacterial
0006-3862	Substance P/neurokinin-1 Receptor Antagonist
0006-3884	Substance P/neurokinin-1 Receptor Antagonist
0006-3915	Aromatic Amino Acid Decarboxylation Inhibitor
0006-3916	Aromatic Amino Acid Decarboxylation Inhibitor
0006-3917	Aromatic Amino Acid Decarboxylation Inhibitor
0006-3918	Aromatic Amino Acid Decarboxylation Inhibitor
0006-3919	Aromatic Amino Acid Decarboxylation Inhibitor
0006-3931	Prostaglandin Analog
0006-3941	Substance P/neurokinin-1 Receptor Antagonist
0006-9117	Leukotriene Receptor Antagonist
0006-9275	Leukotriene Receptor Antagonist
0007-3230	Factor Xa Inhibitor
0007-3232	Factor Xa Inhibitor
0007-3234	Factor Xa Inhibitor
0007-3236	Factor Xa Inhibitor
0007-3370	Alpha-adrenergic Blocker
0007-3370	Beta-adrenergic Blocker
0007-3371	Beta-adrenergic Blocker
0007-3371	Alpha-adrenergic Blocker
0007-3372	Beta-adrenergic Blocker
0007-3372	Alpha-adrenergic Blocker
0007-3373	Beta-adrenergic Blocker
0007-3373	Alpha-adrenergic Blocker
0007-3650	Thiazide Diuretic
0007-4139	Beta-adrenergic Blocker
0007-4139	Alpha-adrenergic Blocker
0007-4140	Alpha-adrenergic Blocker
0007-4140	Beta-adrenergic Blocker
0007-4141	Alpha-adrenergic Blocker
0007-4141	Beta-adrenergic Blocker
0007-4142	Beta-adrenergic Blocker
0007-4142	Alpha-adrenergic Blocker
0007-4201	Topoisomerase Inhibitor
0007-4205	Topoisomerase Inhibitor
0007-4207	Topoisomerase Inhibitor
0007-4401	Nucleoside Metabolic Inhibitor
0007-4407	Direct Thrombin Inhibitor
0007-4407	Anti-coagulant
0007-4640	Thrombopoiesis Stimulating Agent
0007-4641	Thrombopoiesis Stimulating Agent
0007-4642	Thrombopoiesis Stimulating Agent
0007-4643	Thrombopoiesis Stimulating Agent
0007-4646	Thrombopoiesis Stimulating Agent
0007-4882	Nonergot Dopamine Agonist
0007-4883	Nonergot Dopamine Agonist
0007-4885	Nonergot Dopamine Agonist
0007-4887	Nonergot Dopamine Agonist
0007-4888	Nonergot Dopamine Agonist
0007-4890	Nonergot Dopamine Agonist
0007-4891	Nonergot Dopamine Agonist
0007-4892	Nonergot Dopamine Agonist
0007-4893	Nonergot Dopamine Agonist
0007-4894	Nonergot Dopamine Agonist
0007-4895	Nonergot Dopamine Agonist
0007-4896	Nonergot Dopamine Agonist
0007-5180	Pleuromutilin Antibacterial
0008-0606	Proton Pump Inhibitor
0008-0607	Proton Pump Inhibitor
0008-0841	Proton Pump Inhibitor
0008-0843	Proton Pump Inhibitor
0008-0844	Proton Pump Inhibitor
0008-0923	Proton Pump Inhibitor
0008-0941	Proton Pump Inhibitor
0008-1030	Mtor Inhibitor Immunosuppressant
0008-1040	Mtor Inhibitor Immunosuppressant
0008-1041	Mtor Inhibitor Immunosuppressant
0008-1042	Mtor Inhibitor Immunosuppressant
0008-1123	Estrogen Agonist/antagonist
0008-1211	Serotonin and Norepinephrine Reuptake Inhibitor
0008-1222	Serotonin and Norepinephrine Reuptake Inhibitor
0008-2001	Proton Pump Inhibitor
0008-4001	Proton Pump Inhibitor
0008-4117	Antimycobacterial
0008-4188	Antiarrhythmic
0008-4990	Tetracycline-class Antibacterial
0009-0003	Corticosteroid
0009-0005	Corticosteroid
0009-0011	Corticosteroid
0009-0012	Corticosteroid
0009-0013	Corticosteroid
0009-0016	Corticosteroid
0009-0017	Benzodiazepine
0009-0018	Corticosteroid
0009-0020	Corticosteroid
0009-0022	Corticosteroid
0009-0024	Sympathomimetic Amine Anorectic
0009-0029	Benzodiazepine
0009-0031	Corticosteroid
0009-0039	Corticosteroid
0009-0044	Corticosteroid
0009-0047	Corticosteroid
0009-0049	Corticosteroid
0009-0050	Progestin
0009-0055	Benzodiazepine
0009-0056	Corticosteroid
0009-0057	Benzodiazepine
0009-0059	Benzodiazepine
0009-0064	Progestin
0009-0066	Benzodiazepine
0009-0068	Benzodiazepine
0009-0073	Corticosteroid
0009-0085	Androgen
0009-0086	Androgen
0009-0090	Benzodiazepine
0009-0094	Benzodiazepine
0009-0113	Corticosteroid
0009-0176	Corticosteroid
0009-0190	Corticosteroid
0009-0260	Bile Acid Sequestrant
0009-0271	Estrogen
0009-0274	Corticosteroid
0009-0280	Corticosteroid
0009-0286	Progestin
0009-0302	Lincosamide Antibacterial
0009-0306	Corticosteroid
0009-0341	Sulfonylurea
0009-0352	Sulfonylurea
0009-0370	Bile Acid Sequestrant
0009-0450	Bile Acid Sequestrant
0009-0520	Androgen
0009-0602	Lincosamide Antibacterial
0009-0626	Progestin
0009-0698	Corticosteroid
0009-0728	Lincosamide Antibacterial
0009-0758	Corticosteroid
0009-0760	Lincosamide Antibacterial
0009-0765	Corticosteroid
0009-0775	Lincosamide Antibacterial
0009-0796	Corticosteroid
0009-0825	Corticosteroid
0009-0827	Prostaglandin Analog
0009-0856	Prostaglandin Analog
0009-0870	Lincosamide Antibacterial
0009-0900	Corticosteroid
0009-0901	Lincosamide Antibacterial
0009-0902	Lincosamide Antibacterial
0009-0909	Corticosteroid
0009-0912	Corticosteroid
0009-0920	Corticosteroid
0009-1111	Topoisomerase Inhibitor
0009-3073	Corticosteroid
0009-3116	Lincosamide Antibacterial
0009-3124	Lincosamide Antibacterial
0009-3169	Prostaglandin E1 Agonist
0009-3169	Prostaglandin Analog
0009-3329	Lincosamide Antibacterial
0009-3331	Lincosamide Antibacterial
0009-3359	Prostaglandin Analog
0009-3375	Lincosamide Antibacterial
0009-3381	Lincosamide Antibacterial
0009-3382	Lincosamide Antibacterial
0009-3389	Corticosteroid
0009-3447	Lincosamide Antibacterial
0009-3448	Lincosamide Antibacterial
0009-3449	Sulfonylurea
0009-3475	Corticosteroid
0009-3701	Prostaglandin Analog
0009-3701	Prostaglandin E1 Agonist
0009-3778	Prostaglandin E1 Agonist
0009-3778	Prostaglandin Analog
0009-3794	Antiarrhythmic
0009-4541	Cholinergic Muscarinic Antagonist
0009-4544	Cholinergic Muscarinic Antagonist
0009-5012	Alpha-glucosidase Inhibitor
0009-5013	Alpha-glucosidase Inhibitor
0009-5014	Alpha-glucosidase Inhibitor
0009-5091	Anthracycline Topoisomerase Inhibitor
0009-5093	Anthracycline Topoisomerase Inhibitor
0009-5131	Prostaglandin Analog
0009-5131	Prostaglandin E1 Agonist
0009-5134	Oxazolidinone Antibacterial
0009-5135	Oxazolidinone Antibacterial
