product_ndc	class_name
0002-1200	Positron Emitting Activity
0002-1407	Cytochrome P450 2d6 Inhibitors
0002-3227	Norepinephrine Uptake Inhibitors
0002-3228	Norepinephrine Uptake Inhibitors
0002-3229	Norepinephrine Uptake Inhibitors
0002-3235	Norepinephrine Uptake Inhibitors
0002-3235	Serotonin Uptake Inhibitors
0002-3238	Norepinephrine Uptake Inhibitors
0002-3239	Norepinephrine Uptake Inhibitors
0002-3240	Norepinephrine Uptake Inhibitors
0002-3240	Serotonin Uptake Inhibitors
0002-3250	Norepinephrine Uptake Inhibitors
0002-3251	Norepinephrine Uptake Inhibitors
0002-3270	Serotonin Uptake Inhibitors
0002-3270	Norepinephrine Uptake Inhibitors
0002-4165	Selective Estrogen Receptor Modulators
0002-4462	Phosphodiesterase 5 Inhibitors
0002-4463	Phosphodiesterase 5 Inhibitors
0002-4464	Phosphodiesterase 5 Inhibitors
0002-4465	Phosphodiesterase 5 Inhibitors
0002-4770	Hydroxymethylglutaryl-coa Reductase Inhibitors
0002-4771	Hydroxymethylglutaryl-coa Reductase Inhibitors
0002-4772	Hydroxymethylglutaryl-coa Reductase Inhibitors
0002-5121	P2y12 Receptor Antagonists
0002-5123	P2y12 Receptor Antagonists
0002-5800	Norepinephrine Uptake Inhibitors
0002-5801	Norepinephrine Uptake Inhibitors
0002-5802	Norepinephrine Uptake Inhibitors
0002-7501	Nucleic Acid Synthesis Inhibitors
0002-7502	Nucleic Acid Synthesis Inhibitors
0002-7623	Folic Acid Metabolism Inhibitors
0002-7640	Folic Acid Metabolism Inhibitors
0003-0293	Corticosteroid Hormone Receptor Agonists
0003-0371	Cd86-directed Antibody Interactions
0003-0371	Cd80-directed Antibody Interactions
0003-0494	Corticosteroid Hormone Receptor Agonists
0003-0893	Factor Xa Inhibitors
0003-0894	Factor Xa Inhibitors
0003-1427	Sodium-glucose Transporter 2 Inhibitors
0003-1428	Sodium-glucose Transporter 2 Inhibitors
0003-1964	Nucleoside Reverse Transcriptase Inhibitors
0003-1965	Nucleoside Reverse Transcriptase Inhibitors
0003-1966	Nucleoside Reverse Transcriptase Inhibitors
0003-1967	Nucleoside Reverse Transcriptase Inhibitors
0003-1968	Nucleoside Reverse Transcriptase Inhibitors
0003-2327	Ctla-4-directed Antibody Interactions
0003-2328	Ctla-4-directed Antibody Interactions
0003-3622	Hiv Protease Inhibitors
0003-3623	Hiv Protease Inhibitors
0003-3624	Hiv Protease Inhibitors
0003-3631	Hiv Protease Inhibitors
0003-3638	Hiv Protease Inhibitors
0003-5178	Hydroxymethylglutaryl-coa Reductase Inhibitors
