Key	Value
0002-5121	Decreased Platelet Aggregation
0002-5123	Decreased Platelet Aggregation
0003-0371	T Lymphocyte Costimulation Activity Blockade
0003-2187	Decreased Cytokine Activity
0003-2188	Decreased Cytokine Activity
0003-2327	Increased T Lymphocyte Activation
0003-2328	Increased T Lymphocyte Activation
0006-0266	Increased Histamine Release
0006-0266	Cell-mediated Immunity
0006-0267	Increased Histamine Release
0006-0267	Cell-mediated Immunity
0006-3800	Cell-mediated Immunity
0006-3800	Increased Histamine Release
0006-3801	Cell-mediated Immunity
0006-3801	Increased Histamine Release
0006-3931	Increased Prostaglandin Activity
0007-3650	Increased Diuresis
0007-4640	Increased Megakaryocyte Maturation
0007-4640	Increased Platelet Production
0007-4641	Increased Platelet Production
0007-4641	Increased Megakaryocyte Maturation
0007-4642	Increased Platelet Production
0007-4642	Increased Megakaryocyte Maturation
0007-4643	Increased Megakaryocyte Maturation
0007-4643	Increased Platelet Production
0007-4646	Increased Platelet Production
0007-4646	Increased Megakaryocyte Maturation
0008-1030	Decreased Immunologic Activity
0008-1040	Decreased Immunologic Activity
0008-1041	Decreased Immunologic Activity
0008-1042	Decreased Immunologic Activity
0009-0024	Appetite Suppression
0009-0024	Increased Sympathetic Activity
0009-0233	Decreased Cell Wall Synthesis & Repair
0009-0234	Decreased Cell Wall Synthesis & Repair
0009-0241	Decreased Cell Wall Synthesis & Repair
0009-0302	Decreased Sebaceous Gland Activity
0009-0602	Decreased Sebaceous Gland Activity
0009-0728	Decreased Sebaceous Gland Activity
0009-0760	Decreased Sebaceous Gland Activity
0009-0775	Decreased Sebaceous Gland Activity
0009-0870	Decreased Sebaceous Gland Activity
0009-0901	Decreased Sebaceous Gland Activity
0009-0902	Decreased Sebaceous Gland Activity
0009-3116	Decreased Sebaceous Gland Activity
0009-3124	Decreased Sebaceous Gland Activity
0009-3169	Genitourinary Arterial Vasodilation
0009-3169	Venous Vasodilation
0009-3329	Decreased Sebaceous Gland Activity
0009-3331	Decreased Sebaceous Gland Activity
0009-3375	Decreased Sebaceous Gland Activity
0009-3381	Decreased Sebaceous Gland Activity
0009-3382	Decreased Sebaceous Gland Activity
0009-3447	Decreased Sebaceous Gland Activity
0009-3448	Decreased Sebaceous Gland Activity
0009-3701	Venous Vasodilation
0009-3701	Genitourinary Arterial Vasodilation
0009-3778	Venous Vasodilation
0009-3778	Genitourinary Arterial Vasodilation
0009-5131	Genitourinary Arterial Vasodilation
0009-5131	Venous Vasodilation
0009-5181	Genitourinary Arterial Vasodilation
0009-5181	Venous Vasodilation
0009-5182	Genitourinary Arterial Vasodilation
0009-5182	Venous Vasodilation
0009-7224	Lymphocyte Function Alteration
0009-7224	Increased T Lymphocyte Destruction
0009-7667	Decreased Sebaceous Gland Activity
0009-7686	Venous Vasodilation
0009-7686	Genitourinary Arterial Vasodilation
0023-3240	Cell-mediated Immunity
0023-3240	Increased Histamine Release
0023-3240	Increased Igg Production
0023-3416	Cell-mediated Immunity
