product_ndc	type_name
0002-1200	Human Prescription Drug
0002-1407	Human Prescription Drug
0002-3227	Human Prescription Drug
0002-3228	Human Prescription Drug
0002-3229	Human Prescription Drug
0002-3235	Human Prescription Drug
0002-3238	Human Prescription Drug
0002-3239	Human Prescription Drug
0002-3240	Human Prescription Drug
0002-3250	Human Prescription Drug
0002-3251	Human Prescription Drug
0002-3270	Human Prescription Drug
0002-4112	Human Prescription Drug
0002-4115	Human Prescription Drug
0002-4116	Human Prescription Drug
0002-4117	Human Prescription Drug
0002-4165	Human Prescription Drug
0002-4415	Human Prescription Drug
0002-4420	Human Prescription Drug
0002-4453	Human Prescription Drug
0002-4454	Human Prescription Drug
0002-4455	Human Prescription Drug
0002-4456	Human Prescription Drug
0002-4462	Human Prescription Drug
0002-4463	Human Prescription Drug
0002-4464	Human Prescription Drug
0002-4465	Human Prescription Drug
0002-4770	Human Prescription Drug
0002-4771	Human Prescription Drug
0002-4772	Human Prescription Drug
0002-5121	Human Prescription Drug
0002-5123	Human Prescription Drug
0002-5800	Human Prescription Drug
0002-5801	Human Prescription Drug
0002-5802	Human Prescription Drug
0002-7140	Human Prescription Drug
0002-7335	Human Prescription Drug
0002-7501	Human Prescription Drug
0002-7502	Human Prescription Drug
0002-7597	Human Prescription Drug
0002-7623	Human Prescription Drug
0002-7635	Human Prescription Drug
0002-7636	Human Prescription Drug
0002-7637	Human Prescription Drug
0002-7640	Human Prescription Drug
0002-7669	Human Prescription Drug
0002-7678	Human Prescription Drug
0002-8031	Human Prescription Drug
0002-8147	Human Prescription Drug
0002-8148	Human Prescription Drug
0002-8149	Human Prescription Drug
0002-8215	Human OTC Drug
0002-8315	Human OTC Drug
0002-8400	Human Prescription Drug
0002-8501	Human Prescription Drug
0002-8715	Human OTC Drug
0003-0293	Human Prescription Drug
0003-0371	Human Prescription Drug
0003-0494	Human Prescription Drug
0003-0524	Human Prescription Drug
0003-0527	Human Prescription Drug
0003-0528	Human Prescription Drug
0003-0830	Human Prescription Drug
0003-0852	Human Prescription Drug
0003-0855	Human Prescription Drug
0003-0857	Human Prescription Drug
0003-0893	Human Prescription Drug
0003-0894	Human Prescription Drug
0003-1427	Human Prescription Drug
0003-1428	Human Prescription Drug
0003-1611	Human Prescription Drug
0003-1612	Human Prescription Drug
0003-1614	Human Prescription Drug
0003-1964	Human Prescription Drug
0003-1965	Human Prescription Drug
0003-1966	Human Prescription Drug
0003-1967	Human Prescription Drug
0003-1968	Human Prescription Drug
0003-2187	Human Prescription Drug
0003-2188	Human Prescription Drug
0003-2230	Human Prescription Drug
0003-2240	Human Prescription Drug
0003-2327	Human Prescription Drug
0003-2328	Human Prescription Drug
0003-2560	Human Prescription Drug
0003-2570	Human Prescription Drug
0003-3622	Human Prescription Drug
0003-3623	Human Prescription Drug
0003-3624	Human Prescription Drug
0003-3631	Human Prescription Drug
0003-3638	Human Prescription Drug
0003-4214	Human Prescription Drug
0003-4215	Human Prescription Drug
0003-4221	Human Prescription Drug
0003-4222	Human Prescription Drug
0003-4223	Human Prescription Drug
0003-5178	Human Prescription Drug
0003-5194	Human Prescription Drug
0003-5195	Human Prescription Drug
0003-6335	Human Prescription Drug
0003-6336	Human Prescription Drug
0003-6337	Human Prescription Drug
0004-0028	Human Prescription Drug
0004-0038	Human Prescription Drug
0004-0039	Human Prescription Drug
0004-0058	Human Prescription Drug
0004-0068	Human Prescription Drug
0004-0086	Human Prescription Drug
0004-0098	Human Prescription Drug
0004-0244	Human Prescription Drug
0004-0245	Human Prescription Drug
0004-0257	Human Prescription Drug
0004-0259	Human Prescription Drug
0004-0260	Human Prescription Drug
0004-0261	Human Prescription Drug
0004-0298	Human Prescription Drug
0004-0381	Human Prescription Drug
0004-0800	Human Prescription Drug
0004-0801	Human Prescription Drug
0004-0802	Human Prescription Drug
0004-0820	Human Prescription Drug
0004-0822	Human Prescription Drug
0004-1963	Human Prescription Drug
0004-1964	Human Prescription Drug
0004-6202	Human Prescription Drug
0004-6203	Human Prescription Drug
0004-6313	Human Prescription Drug
0004-6314	Human Prescription Drug
0004-6316	Human Prescription Drug
0004-6415	Human Prescription Drug
0004-6416	Human Prescription Drug
0004-6940	Human Prescription Drug
0005-2500	Human OTC Drug
0006-0005	Human Prescription Drug
0006-0019	Human Prescription Drug
0006-0032	Human Prescription Drug
0006-0033	Human Prescription Drug
0006-0071	Human Prescription Drug
0006-0072	Human Prescription Drug
0006-0106	Human Prescription Drug
0006-0117	Human Prescription Drug
0006-0207	Human Prescription Drug
0006-0266	Human Prescription Drug
0006-0267	Human Prescription Drug
0006-0275	Human Prescription Drug
0006-0325	Human Prescription Drug
0006-0335	Human Prescription Drug
0006-0351	Human Prescription Drug
0006-0461	Human Prescription Drug
0006-0462	Human Prescription Drug
0006-0464	Human Prescription Drug
0006-0533	Human Prescription Drug
0006-0535	Human Prescription Drug
0006-0537	Human Prescription Drug
0006-0568	Human Prescription Drug
0006-0570	Human Prescription Drug
0006-0571	Human Prescription Drug
0006-0573	Human Prescription Drug
0006-0705	Human Prescription Drug
0006-0711	Human Prescription Drug
0006-0717	Human Prescription Drug
0006-0731	Human Prescription Drug
0006-0732	Human Prescription Drug
0006-0745	Human Prescription Drug
0006-0747	Human Prescription Drug
0006-0753	Human Prescription Drug
0006-0757	Human Prescription Drug
0006-0773	Human Prescription Drug
0006-0951	Human Prescription Drug
0006-0952	Human Prescription Drug
0006-0960	Human Prescription Drug
0006-1711	Human Prescription Drug
0006-3029	Human Prescription Drug
0006-3395	Human Prescription Drug
0006-3514	Human Prescription Drug
0006-3516	Human Prescription Drug
0006-3519	Human Prescription Drug
0006-3551	Human Prescription Drug
0006-3552	Human Prescription Drug
0006-3628	Human Prescription Drug
0006-3629	Human Prescription Drug
0006-3800	Human Prescription Drug
0006-3801	Human Prescription Drug
0006-3822	Human Prescription Drug
0006-3823	Human Prescription Drug
0006-3841	Human Prescription Drug
0006-3843	Human Prescription Drug
0006-3845	Human Prescription Drug
0006-3862	Human Prescription Drug
0006-3884	Human Prescription Drug
0006-3915	Human Prescription Drug
0006-3916	Human Prescription Drug
0006-3917	Human Prescription Drug
0006-3918	Human Prescription Drug
0006-3919	Human Prescription Drug
0006-3931	Human Prescription Drug
0006-3941	Human Prescription Drug
0006-9117	Human Prescription Drug
0006-9275	Human Prescription Drug
0007-3230	Human Prescription Drug
0007-3232	Human Prescription Drug
0007-3234	Human Prescription Drug
0007-3236	Human Prescription Drug
0007-3260	Human Prescription Drug
0007-3261	Human Prescription Drug
0007-3262	Human Prescription Drug
0007-3370	Human Prescription Drug
0007-3371	Human Prescription Drug
0007-3372	Human Prescription Drug
0007-3373	Human Prescription Drug
0007-3650	Human Prescription Drug
0007-4139	Human Prescription Drug
0007-4140	Human Prescription Drug
0007-4141	Human Prescription Drug
0007-4142	Human Prescription Drug
0007-4201	Human Prescription Drug
0007-4205	Human Prescription Drug
0007-4207	Human Prescription Drug
0007-4401	Human Prescription Drug
0007-4407	Human Prescription Drug
0007-4640	Human Prescription Drug
0007-4641	Human Prescription Drug
0007-4642	Human Prescription Drug
0007-4643	Human Prescription Drug
0007-4646	Human Prescription Drug
0007-4882	Human Prescription Drug
0007-4883	Human Prescription Drug
0007-4885	Human Prescription Drug
0007-4887	Human Prescription Drug
0007-4888	Human Prescription Drug
0007-4890	Human Prescription Drug
0007-4891	Human Prescription Drug
0007-4892	Human Prescription Drug
0007-4893	Human Prescription Drug
0007-4894	Human Prescription Drug
0007-4895	Human Prescription Drug
0007-4896	Human Prescription Drug
0007-5180	Human Prescription Drug
0008-0407	Human Prescription Drug
0008-0606	Human Prescription Drug
0008-0607	Human Prescription Drug
0008-0841	Human Prescription Drug
0008-0843	Human Prescription Drug
0008-0844	Human Prescription Drug
0008-0923	Human Prescription Drug
0008-0941	Human Prescription Drug
0008-1030	Human Prescription Drug
0008-1040	Human Prescription Drug
0008-1041	Human Prescription Drug
0008-1042	Human Prescription Drug
0008-1123	Human Prescription Drug
0008-1211	Human Prescription Drug
0008-1222	Human Prescription Drug
0008-2001	Human Prescription Drug
0008-4001	Human Prescription Drug
0008-4117	Human Prescription Drug
0008-4188	Human Prescription Drug
0008-4990	Human Prescription Drug
0009-0003	Human Prescription Drug
0009-0005	Human Prescription Drug
0009-0011	Human Prescription Drug
0009-0012	Human Prescription Drug
0009-0013	Human Prescription Drug
0009-0016	Human Prescription Drug
0009-0017	Human Prescription Drug
0009-0018	Human Prescription Drug
0009-0020	Human Prescription Drug
0009-0022	Human Prescription Drug
0009-0024	Human Prescription Drug
0009-0029	Human Prescription Drug
0009-0031	Human Prescription Drug
0009-0039	Human Prescription Drug
0009-0044	Human Prescription Drug
0009-0047	Human Prescription Drug
0009-0049	Human Prescription Drug
0009-0050	Human Prescription Drug
0009-0055	Human Prescription Drug
0009-0056	Human Prescription Drug
0009-0057	Human Prescription Drug
0009-0059	Human Prescription Drug
0009-0064	Human Prescription Drug
0009-0066	Human Prescription Drug
0009-0068	Human Prescription Drug
0009-0073	Human Prescription Drug
0009-0085	Human Prescription Drug
0009-0086	Human Prescription Drug
0009-0090	Human Prescription Drug
0009-0094	Human Prescription Drug
0009-0113	Human Prescription Drug
0009-0176	Human Prescription Drug
0009-0190	Human Prescription Drug
0009-0233	Human Prescription Drug
0009-0234	Human Prescription Drug
0009-0241	Human Prescription Drug
0009-0260	Human Prescription Drug
0009-0271	Human Prescription Drug
0009-0274	Human Prescription Drug
0009-0280	Human Prescription Drug
0009-0286	Human Prescription Drug
0009-0302	Human Prescription Drug
0009-0306	Human Prescription Drug
0009-0341	Human Prescription Drug
0009-0352	Human Prescription Drug
0009-0370	Human Prescription Drug
0009-0436	Human Prescription Drug
0009-0450	Human Prescription Drug
0009-0520	Human Prescription Drug
0009-0602	Human Prescription Drug
0009-0626	Human Prescription Drug
0009-0698	Human Prescription Drug
0009-0728	Human Prescription Drug
0009-0758	Human Prescription Drug
0009-0760	Human Prescription Drug
0009-0765	Human Prescription Drug
0009-0775	Human Prescription Drug
0009-0796	Human Prescription Drug
0009-0825	Human Prescription Drug
0009-0827	Human Prescription Drug
0009-0856	Human Prescription Drug
0009-0870	Human Prescription Drug
0009-0900	Human Prescription Drug
0009-0901	Human Prescription Drug
0009-0902	Human Prescription Drug
0009-0909	Human Prescription Drug
0009-0912	Human Prescription Drug
0009-0920	Human Prescription Drug
0009-1111	Human Prescription Drug
0009-3073	Human Prescription Drug
0009-3116	Human Prescription Drug
0009-3124	Human Prescription Drug
0009-3169	Human Prescription Drug
0009-3329	Human Prescription Drug
0009-3331	Human Prescription Drug
0009-3359	Human Prescription Drug
0009-3375	Human Prescription Drug
0009-3381	Human Prescription Drug
0009-3382	Human Prescription Drug
0009-3389	Human Prescription Drug
0009-3447	Human Prescription Drug
0009-3448	Human Prescription Drug
0009-3449	Human Prescription Drug
0009-3475	Human Prescription Drug
0009-3701	Human Prescription Drug
0009-3778	Human Prescription Drug
0009-3794	Human Prescription Drug
0009-4541	Human Prescription Drug
0009-4544	Human Prescription Drug
0009-5012	Human Prescription Drug
0009-5013	Human Prescription Drug
0009-5014	Human Prescription Drug
0009-5091	Human Prescription Drug
0009-5093	Human Prescription Drug
0009-5131	Human Prescription Drug
0009-5134	Human Prescription Drug
0009-5135	Human Prescription Drug
0009-5136	Human Prescription Drug
0009-5137	Human Prescription Drug
0009-5139	Human Prescription Drug
0009-5140	Human Prescription Drug
0009-5176	Human Prescription Drug
0009-5178	Human Prescription Drug
0009-5180	Human Prescription Drug
0009-5181	Human Prescription Drug
0009-5182	Human Prescription Drug
0009-5190	Human Prescription Drug
0009-5191	Human Prescription Drug
0009-5199	Human Prescription Drug
0009-5200	Human Prescription Drug
0009-5400	Human Prescription Drug
0009-5401	Human Prescription Drug
0009-7224	Human Prescription Drug
0009-7529	Human Prescription Drug
0009-7663	Human Prescription Drug
0009-7667	Human Prescription Drug
0009-7686	Human Prescription Drug
0013-0101	Human Prescription Drug
0013-0102	Human Prescription Drug
0013-0132	Human Prescription Drug
0013-2150	Human Prescription Drug
0013-2200	Human Prescription Drug
0013-2201	Human Prescription Drug
0013-2202	Human Prescription Drug
0013-2576	Human Prescription Drug
0013-2586	Human Prescription Drug
0013-2596	Human Prescription Drug
