product_ndc	route
0002-1200	Intravenous
0002-1407	Intravenous
0002-3227	Oral
0002-3228	Oral
0002-3229	Oral
0002-3235	Oral
0002-3238	Oral
0002-3239	Oral
0002-3240	Oral
0002-3250	Oral
0002-3251	Oral
0002-3270	Oral
0002-4112	Oral
0002-4115	Oral
0002-4116	Oral
0002-4117	Oral
0002-4165	Oral
0002-4415	Oral
0002-4420	Oral
0002-4453	Oral
0002-4454	Oral
0002-4455	Oral
0002-4456	Oral
0002-4462	Oral
0002-4463	Oral
0002-4464	Oral
0002-4465	Oral
0002-4770	Oral
0002-4771	Oral
0002-4772	Oral
0002-5121	Oral
0002-5123	Oral
0002-5800	Oral
0002-5801	Oral
0002-5802	Oral
0002-7140	Intravenous
0002-7335	Subcutaneous
0002-7335	Intramuscular
0002-7501	Intravenous
0002-7502	Intravenous
0002-7597	Oral
0002-7623	Intravenous
0002-7635	Intramuscular
0002-7636	Intramuscular
0002-7637	Intramuscular
0002-7640	Intravenous
0002-7669	Intravenous
0002-7678	Intravenous
0002-8147	Intramuscular
0002-8147	Subcutaneous
0002-8148	Subcutaneous
0002-8148	Intramuscular
0002-8149	Subcutaneous
0002-8149	Intramuscular
0002-8215	Parenteral
0002-8315	Subcutaneous
0002-8400	Subcutaneous
0002-8501	Subcutaneous
0002-8715	Subcutaneous
0003-0293	Intramuscular
0003-0293	Intra-articular
0003-0371	Intravenous
0003-0494	Intra-articular
0003-0494	Intralesional
0003-0524	Oral
0003-0527	Oral
0003-0528	Oral
0003-0830	Oral
0003-0852	Oral
0003-0855	Oral
0003-0857	Oral
0003-0893	Oral
0003-0894	Oral
0003-1427	Oral
0003-1428	Oral
0003-1611	Oral
0003-1612	Oral
0003-1614	Oral
0003-1964	Oral
0003-1965	Oral
0003-1966	Oral
0003-1967	Oral
0003-1968	Oral
0003-2187	Intravenous
0003-2188	Intravenous
0003-2230	Intravenous
0003-2240	Intravenous
0003-2327	Intravenous
0003-2328	Intravenous
0003-2560	Intravenous
0003-2560	Intramuscular
0003-2570	Intramuscular
0003-2570	Intravenous
0003-3622	Oral
0003-3623	Oral
0003-3624	Oral
0003-3631	Oral
0003-3638	Oral
0003-4214	Oral
0003-4215	Oral
0003-4221	Oral
0003-4222	Oral
0003-4223	Oral
0003-5178	Oral
0003-5194	Oral
0003-5195	Oral
0003-6335	Oral
0003-6336	Oral
0003-6337	Oral
0004-0028	Oral
0004-0038	Oral
0004-0039	Oral
0004-0058	Oral
0004-0068	Oral
0004-0086	Oral
0004-0098	Oral
0004-0244	Oral
0004-0245	Oral
0004-0257	Oral
0004-0259	Oral
0004-0260	Oral
0004-0261	Oral
0004-0298	Oral
0004-0800	Oral
0004-0801	Oral
0004-0802	Oral
0004-0820	Oral
0004-0822	Oral
0004-1963	Intravenous
0004-1963	Intramuscular
0004-1964	Intravenous
0004-1964	Intramuscular
0004-6202	Oral
0004-6203	Oral
0004-6313	Oral
0004-6314	Oral
0004-6316	Oral
0004-6415	Oral
0004-6416	Oral
0004-6940	Intravenous
0005-2500	Oral
0006-0005	Oral
0006-0019	Oral
0006-0032	Oral
0006-0033	Oral
0006-0071	Oral
0006-0072	Oral
0006-0106	Oral
0006-0117	Oral
0006-0207	Oral
0006-0266	Oral
0006-0267	Oral
0006-0275	Oral
0006-0325	Oral
0006-0335	Oral
0006-0351	Oral
0006-0461	Oral
0006-0462	Oral
0006-0464	Oral
0006-0533	Oral
0006-0535	Oral
0006-0537	Oral
0006-0568	Oral
0006-0570	Oral
0006-0571	Oral
0006-0573	Oral
0006-0705	Oral
0006-0711	Oral
0006-0717	Oral
0006-0731	Oral
0006-0732	Oral
0006-0745	Oral
0006-0747	Oral
0006-0753	Oral
0006-0757	Oral
0006-0773	Oral
0006-0951	Oral
0006-0952	Oral
0006-0960	Oral
0006-1711	Oral
0006-3029	Intravenous
0006-3395	Intravenous
0006-3514	Intravenous
0006-3516	Intravenous
0006-3519	Ophthalmic
0006-3551	Intravenous
0006-3552	Intravenous
0006-3628	Ophthalmic
0006-3629	Ophthalmic
0006-3800	Oral
0006-3801	Oral
0006-3822	Intravenous
0006-3823	Intravenous
0006-3841	Oral
0006-3843	Intramuscular
0006-3843	Intravenous
0006-3845	Intramuscular
0006-3845	Intravenous
0006-3862	Oral
0006-3884	Intravenous
0006-3915	Oral
0006-3916	Oral
0006-3917	Oral
0006-3918	Oral
0006-3919	Oral
0006-3931	Ophthalmic
0006-3941	Intravenous
0006-9117	Oral
0006-9275	Oral
0007-3230	Subcutaneous
0007-3232	Subcutaneous
0007-3234	Subcutaneous
0007-3236	Subcutaneous
0007-3370	Oral
0007-3371	Oral
0007-3372	Oral
0007-3373	Oral
0007-3650	Oral
0007-4139	Oral
0007-4140	Oral
0007-4141	Oral
0007-4142	Oral
0007-4201	Intravenous
0007-4205	Oral
0007-4207	Oral
0007-4401	Intravenous
0007-4407	Intravenous
0007-4640	Oral
0007-4641	Oral
0007-4642	Oral
0007-4643	Oral
0007-4646	Oral
0007-4882	Oral
0007-4883	Oral
0007-4885	Oral
0007-4887	Oral
0007-4888	Oral
0007-4890	Oral
0007-4891	Oral
0007-4892	Oral
0007-4893	Oral
0007-4894	Oral
0007-4895	Oral
0007-4896	Oral
0007-5180	Topical
0008-0407	Intravenous
0008-0606	Oral
0008-0607	Oral
0008-0841	Oral
0008-0843	Oral
0008-0844	Oral
0008-0923	Intravenous
0008-0941	Intravenous
0008-1030	Oral
0008-1040	Oral
0008-1041	Oral
0008-1042	Oral
0008-1123	Oral
0008-1211	Oral
0008-1222	Oral
0008-2001	Intravenous
0008-4001	Intravenous
0008-4117	Oral
0008-4188	Oral
0008-4990	Intravenous
0009-0003	Intramuscular
0009-0003	Intravenous
0009-0005	Intramuscular
0009-0005	Intravenous
0009-0011	Intravenous
0009-0011	Intramuscular
0009-0012	Oral
0009-0013	Intravenous
0009-0013	Intramuscular
0009-0016	Intramuscular
0009-0016	Intravenous
0009-0017	Oral
0009-0018	Intravenous
0009-0018	Intramuscular
0009-0020	Oral
0009-0022	Oral
0009-0024	Oral
0009-0029	Oral
0009-0031	Oral
0009-0039	Intravenous
0009-0039	Intramuscular
0009-0044	Oral
0009-0047	Intramuscular
0009-0047	Intravenous
0009-0049	Oral
0009-0050	Oral
0009-0055	Oral
0009-0056	Oral
