dea_schedule	description	labeler	nonproprietary_name	package_code	package_ndc	price_per_unit	product_code	product_ndc	proprietary_name	unit
	12-HR DECONGEST 120 MG CAPLET	0113	Pseudoephedrine Hydrochloride	52	0113-0054-52	0.36651	0054	0113-0054	Good Sense Suphedrine	EA	
	12-HR DECONGEST 120 MG CAPLET	36800	Pseudoephedrine Hydrochloride	52	36800-0054-52	0.36651	0054	36800-0054	Topcare 12 Hour Decongestant	EA	
	12-HR DECONGEST 120 MG CAPLET	36800	Pseudoephedrine Hydrochloride	60	36800-0054-60	0.36651	0054	36800-0054	Topcare 12 Hour Decongestant	EA	
	12-HR DECONGEST 120 MG CAPLET	37205	Pseudoephedrine Hydrochloride	52	37205-0446-52	0.36651	0446	37205-0446	Leader 12 Hour Nasal Decongestant	EA	
	8 HOUR ER 650 MG CAPLET	46122	Acetaminophen	71	46122-0062-71	0.06081	0062	46122-0062	Acetaminophen	EA	
	8 HOUR ER 650 MG CAPLET	46122	Acetaminophen	78	46122-0062-78	0.06081	0062	46122-0062	Acetaminophen	EA	
	ABACAVIR 300 MG TABLET	0378	Abacavir Sulfate	91	0378-4105-91	3.78621	4105	0378-4105	Abacavir Sulfate	EA	
	ABACAVIR 300 MG TABLET	31722	Abacavir	60	31722-0557-60	3.78621	0557	31722-0557	Abacavir	EA	
	ABACAVIR 300 MG TABLET	51079	Abacavir Sulfate	01	51079-0204-01	3.78621	0204	51079-0204	Abacavir Sulfate	EA	
	ABACAVIR 300 MG TABLET	51079	Abacavir Sulfate	06	51079-0204-06	3.78621	0204	51079-0204	Abacavir Sulfate	EA	
	ABACAVIR 300 MG TABLET	60505	Abacavir Sulfate	06	60505-3583-06	3.78621	3583	60505-3583	Abacavir Sulfate	EA	
	ABACAVIR 300 MG TABLET	65862	Abacavir Sulfate	60	65862-0073-60	3.78621	0073	65862-0073	Abacavir	EA	
	ABACAVIR 300 MG TABLET	68084	Abacavir Sulfate	11	68084-0021-11	3.78621	0021	68084-0021	Abacavir	EA	
	ABACAVIR 300 MG TABLET	68084	Abacavir Sulfate	21	68084-0021-21	3.78621	0021	68084-0021	Abacavir	EA	
	ABACAVIR-LAMIVUDINE-ZIDOV TAB	68180	Abacavir Sulfate, Lamivudine and Zidovudine	07	68180-0286-07	23.03610	0286	68180-0286	Abacavir Sulfate, Lamivudine and Zidovudine	EA	
	ABILIFY 1 MG/ML SOLUTION	59148	Aripiprazole	15	59148-0013-15	6.32127	0013	59148-0013	Abilify	ML	
	ABILIFY 10 MG TABLET	59148	Aripiprazole	13	59148-0008-13	29.12445	0008	59148-0008	Abilify	EA	
	ABILIFY 10 MG TABLET	59148	Aripiprazole	35	59148-0008-35	29.12445	0008	59148-0008	Abilify	EA	
	ABILIFY 15 MG TABLET	59148	Aripiprazole	13	59148-0009-13	29.03899	0009	59148-0009	Abilify	EA	
	ABILIFY 15 MG TABLET	59148	Aripiprazole	35	59148-0009-35	29.03899	0009	59148-0009	Abilify	EA	
	ABILIFY 2 MG TABLET	59148	Aripiprazole	13	59148-0006-13	28.72033	0006	59148-0006	Abilify	EA	
	ABILIFY 20 MG TABLET	59148	Aripiprazole	13	59148-0010-13	40.91995	0010	59148-0010	Abilify	EA	
	ABILIFY 20 MG TABLET	59148	Aripiprazole	35	59148-0010-35	40.91995	0010	59148-0010	Abilify	EA	
	ABILIFY 30 MG TABLET	59148	Aripiprazole	13	59148-0011-13	40.98323	0011	59148-0011	Abilify	EA	
	ABILIFY 30 MG TABLET	59148	Aripiprazole	35	59148-0011-35	40.98323	0011	59148-0011	Abilify	EA	
	ABILIFY 5 MG TABLET	59148	Aripiprazole	13	59148-0007-13	28.72221	0007	59148-0007	Abilify	EA	
	ABILIFY 5 MG TABLET	59148	Aripiprazole	35	59148-0007-35	28.72221	0007	59148-0007	Abilify	EA	
	ABILIFY DISCMELT 10 MG TABLET	59148	Aripiprazole	23	59148-0640-23	35.01615	0640	59148-0640	Abilify	EA	
	ABILIFY DISCMELT 15 MG TABLET	59148	Aripiprazole	23	59148-0641-23	34.30308	0641	59148-0641	Abilify	EA	
	ABILIFY MAINTENA ER 300 MG VL	59148	Aripiprazole	71	59148-0018-71	1142.52706	0018	59148-0018	Abilify Maintena	EA	
	ABILIFY MAINTENA ER 400 MG VL	59148	Aripiprazole	71	59148-0019-71	1544.73959	0019	59148-0019	Abilify Maintena	EA	
	ABREVA 10% CREAM	0135	Docosanol	01	0135-0200-01	7.28485	0200	0135-0200	Abreva	GM	
	ABREVA 10% CREAM	0135	Docosanol	03	0135-0200-03	7.28485	0200	0135-0200	Abreva	GM	
	ABSORICA 20 MG CAPSULE	10631	Isotretinoin	31	10631-0116-31	26.13375	0116	10631-0116	Absorica	EA	
	ABSORICA 30 MG CAPSULE	10631	Isotretinoin	31	10631-0117-31	27.61615	0117	10631-0117	Absorica	EA	
